type,sample,value,offset,duration,timestamp,orig
break cnt,1,epoch,,106920,,
95  ,19231,,,1,,
5   ,22126,,,1,,
9   ,23535,,,1,,
13  ,24320,,,1,,
5   ,24735,,,1,,
8   ,26135,,,1,,
12  ,26820,,,1,,
5   ,27335,,,1,,
9   ,30335,,,1,,
13  ,31260,,,1,,
5   ,31535,,,1,,
8   ,34535,,,1,,
12  ,35105,,,1,,
5   ,35735,,,1,,
9   ,38735,,,1,,
13  ,39785,,,1,,
5   ,39935,,,1,,
8   ,42935,,,1,,
12  ,43980,,,1,,
5   ,44135,,,1,,
8   ,46335,,,1,,
12  ,47290,,,1,,
5   ,47535,,,1,,
9   ,48936,,,1,,
13  ,49785,,,1,,
5   ,50135,,,1,,
9   ,53135,,,1,,
13  ,54161,,,1,,
5   ,54336,,,1,,
9   ,56536,,,1,,
13  ,57636,,,1,,
5   ,57736,,,1,,
9   ,59936,,,1,,
5   ,61136,,,1,,
9   ,62536,,,1,,
13  ,63576,,,1,,
5   ,63736,,,1,,
8   ,65936,,,1,,
12  ,66896,,,1,,
5   ,67136,,,1,,
9   ,69336,,,1,,
5   ,70536,,,1,,
13  ,70571,,,1,,
9   ,73536,,,1,,
13  ,74381,,,1,,
5   ,74736,,,1,,
9   ,76936,,,1,,
5   ,78136,,,1,,
13  ,78151,,,1,,
9   ,79536,,,1,,
5   ,80737,,,1,,
13  ,80752,,,1,,
8   ,82137,,,1,,
12  ,83087,,,1,,
5   ,83337,,,1,,
8   ,84737,,,1,,
12  ,85712,,,1,,
5   ,85937,,,1,,
8   ,88137,,,1,,
12  ,89027,,,1,,
5   ,89337,,,1,,
8   ,90737,,,1,,
12  ,91867,,,1,,
5   ,91937,,,1,,
8   ,94137,,,1,,
12  ,95102,,,1,,
5   ,95337,,,1,,
8   ,98337,,,1,,
12  ,99287,,,1,,
5   ,99537,,,1,,
8   ,102537,,,1,,
5   ,103738,,,1,,
break cnt,106921,epoch,,99218,,
9999,123733,,,1,,
