type,sample,value,offset,duration,timestamp,orig
break cnt,1,epoch,,134694,,
93  ,22917,,,1,,
4   ,23687,,,1,,
8   ,23946,,,1,,
4   ,25405,,,1,,
8   ,25660,,,1,,
4   ,27115,,,1,,
8   ,27370,,,1,,
4   ,28825,,,1,,
8   ,29080,,,1,,
4   ,30535,,,1,,
8   ,30790,,,1,,
4   ,32245,,,1,,
8   ,32500,,,1,,
4   ,33955,,,1,,
8   ,34210,,,1,,
4   ,35665,,,1,,
8   ,35920,,,1,,
4   ,37375,,,1,,
8   ,37630,,,1,,
4   ,39085,,,1,,
8   ,39341,,,1,,
4   ,40796,,,1,,
8   ,41051,,,1,,
4   ,42506,,,1,,
8   ,42761,,,1,,
4   ,44216,,,1,,
8   ,44471,,,1,,
4   ,45926,,,1,,
8   ,46181,,,1,,
4   ,47636,,,1,,
8   ,47891,,,1,,
4   ,49346,,,1,,
8   ,49601,,,1,,
4   ,51056,,,1,,
8   ,51311,,,1,,
4   ,52766,,,1,,
8   ,53021,,,1,,
4   ,54476,,,1,,
8   ,54731,,,1,,
4   ,56186,,,1,,
8   ,56441,,,1,,
4   ,57896,,,1,,
8   ,58151,,,1,,
4   ,59606,,,1,,
8   ,59861,,,1,,
4   ,61316,,,1,,
8   ,61571,,,1,,
4   ,63026,,,1,,
8   ,63281,,,1,,
4   ,64736,,,1,,
8   ,64991,,,1,,
4   ,66446,,,1,,
8   ,66701,,,1,,
4   ,68156,,,1,,
8   ,68412,,,1,,
4   ,69867,,,1,,
8   ,70122,,,1,,
4   ,71577,,,1,,
8   ,71832,,,1,,
4   ,73287,,,1,,
8   ,73542,,,1,,
4   ,74997,,,1,,
8   ,75252,,,1,,
4   ,76707,,,1,,
8   ,76962,,,1,,
4   ,78417,,,1,,
8   ,78672,,,1,,
4   ,80127,,,1,,
8   ,80382,,,1,,
4   ,81837,,,1,,
8   ,82092,,,1,,
4   ,83547,,,1,,
8   ,83802,,,1,,
4   ,85257,,,1,,
8   ,85512,,,1,,
4   ,86967,,,1,,
8   ,87222,,,1,,
4   ,88677,,,1,,
8   ,88932,,,1,,
4   ,90387,,,1,,
8   ,90642,,,1,,
4   ,92097,,,1,,
8   ,92352,,,1,,
4   ,93807,,,1,,
8   ,94062,,,1,,
4   ,95517,,,1,,
8   ,95772,,,1,,
4   ,97227,,,1,,
8   ,97482,,,1,,
4   ,98937,,,1,,
8   ,99192,,,1,,
4   ,100648,,,1,,
8   ,100903,,,1,,
4   ,102358,,,1,,
8   ,102613,,,1,,
4   ,104068,,,1,,
8   ,104323,,,1,,
4   ,105778,,,1,,
8   ,106033,,,1,,
4   ,107488,,,1,,
8   ,107743,,,1,,
4   ,109198,,,1,,
8   ,109453,,,1,,
4   ,110908,,,1,,
8   ,111163,,,1,,
4   ,112618,,,1,,
8   ,112873,,,1,,
4   ,114328,,,1,,
8   ,114583,,,1,,
4   ,116038,,,1,,
8   ,116293,,,1,,
4   ,117748,,,1,,
8   ,118003,,,1,,
4   ,119458,,,1,,
8   ,119713,,,1,,
4   ,121168,,,1,,
8   ,121423,,,1,,
4   ,122879,,,1,,
8   ,123133,,,1,,
4   ,124588,,,1,,
8   ,124843,,,1,,
4   ,126298,,,1,,
8   ,126553,,,1,,
4   ,128008,,,1,,
8   ,128263,,,1,,
4   ,129718,,,1,,
8   ,129974,,,1,,
4   ,131429,,,1,,
8   ,131684,,,1,,
break cnt,134695,epoch,,108943,,
