type,sample,value,offset,duration,timestamp,orig
break cnt,1,epoch,,91920,,
92  ,20565,,,1,,
20  ,22023,,,1,,
14  ,26878,,,1,,
14  ,28885,,,1,,
14  ,31937,,,1,,
14  ,35849,,,1,,
14  ,39729,,,1,,
14  ,42189,,,1,,
14  ,44569,,,1,,
14  ,50021,,,1,,
14  ,53397,,,1,,
14  ,56701,,,1,,
14  ,59769,,,1,,
14  ,61757,,,1,,
14  ,64453,,,1,,
14  ,66285,,,1,,
14  ,67541,,,1,,
20  ,68793,,,1,,
14  ,73033,,,1,,
14  ,74305,,,1,,
14  ,76893,,,1,,
14  ,79021,,,1,,
14  ,81481,,,1,,
14  ,90445,,,1,,
20  ,90449,,,1,,
break cnt,91921,epoch,,134694,,
