type,sample,value,offset,duration,timestamp,orig
break cnt,1,epoch,,145866,,
91  ,21429,,,1,,
31  ,24555,,,1,,
11  ,24562,,,1,,
21  ,24857,,,1,,
16  ,25517,,,1,,
26  ,25812,,,1,,
14  ,26472,,,1,,
24  ,26767,,,1,,
12  ,27427,,,1,,
22  ,27722,,,1,,
17  ,28382,,,1,,
27  ,28677,,,1,,
13  ,29337,,,1,,
23  ,29627,,,1,,
18  ,30287,,,1,,
28  ,30577,,,1,,
15  ,31237,,,1,,
25  ,31527,,,1,,
12  ,32187,,,1,,
22  ,32477,,,1,,
17  ,33137,,,1,,
27  ,33427,,,1,,
32  ,54413,,,1,,
11  ,54418,,,1,,
21  ,54708,,,1,,
16  ,55368,,,1,,
26  ,55658,,,1,,
14  ,56318,,,1,,
24  ,56608,,,1,,
12  ,57268,,,1,,
22  ,57563,,,1,,
17  ,58223,,,1,,
27  ,58518,,,1,,
13  ,59178,,,1,,
23  ,59473,,,1,,
18  ,60133,,,1,,
28  ,60428,,,1,,
15  ,61088,,,1,,
25  ,61378,,,1,,
12  ,62038,,,1,,
22  ,62328,,,1,,
17  ,62988,,,1,,
27  ,63278,,,1,,
33  ,81314,,,1,,
11  ,81319,,,1,,
21  ,81609,,,1,,
16  ,82269,,,1,,
26  ,82559,,,1,,
14  ,83219,,,1,,
24  ,83509,,,1,,
12  ,84169,,,1,,
22  ,84464,,,1,,
17  ,85124,,,1,,
27  ,85419,,,1,,
13  ,86079,,,1,,
23  ,86374,,,1,,
18  ,87034,,,1,,
28  ,87329,,,1,,
15  ,87989,,,1,,
25  ,88279,,,1,,
12  ,88939,,,1,,
22  ,89229,,,1,,
17  ,89889,,,1,,
27  ,90184,,,1,,
34  ,101895,,,1,,
11  ,101899,,,1,,
21  ,102189,,,1,,
16  ,102849,,,1,,
26  ,103139,,,1,,
14  ,103800,,,1,,
24  ,104089,,,1,,
12  ,104750,,,1,,
22  ,105044,,,1,,
17  ,105705,,,1,,
27  ,105999,,,1,,
13  ,106660,,,1,,
23  ,106954,,,1,,
18  ,107615,,,1,,
28  ,107904,,,1,,
15  ,108564,,,1,,
25  ,108854,,,1,,
12  ,109514,,,1,,
22  ,109804,,,1,,
17  ,110465,,,1,,
27  ,110760,,,1,,
35  ,124060,,,1,,
11  ,124065,,,1,,
21  ,124355,,,1,,
16  ,125015,,,1,,
26  ,125305,,,1,,
14  ,125970,,,1,,
24  ,126260,,,1,,
12  ,126920,,,1,,
22  ,127210,,,1,,
17  ,127870,,,1,,
27  ,128165,,,1,,
13  ,128825,,,1,,
23  ,129115,,,1,,
18  ,129775,,,1,,
28  ,130065,,,1,,
15  ,130725,,,1,,
25  ,131020,,,1,,
12  ,131680,,,1,,
22  ,131970,,,1,,
17  ,132631,,,1,,
27  ,132925,,,1,,
50  ,145412,,,1,,
break cnt,145867,epoch,,91920,,
