## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	5463                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1440	900
## Calibration Point 0:	Position(720;450)
## Calibration Point 1:	Position(360;45)
## Calibration Point 2:	Position(1368;225)
## Calibration Point 3:	Position(1080;855)
## Calibration Point 4:	Position(72;675)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023402-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2620863292	SMP	1	1300.05	575.28	1025.93	563.91	14.96	14.96	2.77	12.78	12.78	2.42	1298.75	578.90	1307.23	579.11	1025.28	568.13	1033.73	568.26	1108.70	684.41	1071.70	610.65	0	1	1	2	-1	-1	8.10	36.08	630.31	62.18	37.90	624.62	0.11	0.10	-0.99	0.05	0.11	-0.99	0		
2620896629	SMP	1	1299.71	574.93	1025.79	563.75	14.32	14.32	2.76	12.44	12.44	2.41	1298.60	578.83	1307.05	579.00	1025.10	568.09	1033.63	568.25	1112.32	679.74	1073.89	609.38	0	1	1	2	-1	-1	8.13	36.09	630.16	62.21	37.90	624.67	0.11	0.11	-0.99	0.05	0.12	-0.99	0		
2620929961	SMP	1	1300.76	575.30	1027.01	563.78	14.52	14.52	2.76	12.75	12.75	2.40	1299.13	579.05	1307.66	579.14	1025.62	568.35	1034.65	568.59	1100.94	685.54	1063.00	603.69	0	1	1	2	-1	-1	8.01	36.03	629.69	61.73	37.64	621.34	0.09	0.10	-0.99	0.03	0.13	-0.99	0		
2620963298	SMP	1	1300.74	575.59	1027.03	564.15	14.72	14.72	2.76	12.96	12.96	2.41	1299.10	579.09	1307.66	579.30	1025.68	568.50	1034.69	568.74	1093.87	691.83	1057.22	607.27	0	1	1	2	-1	-1	8.00	35.97	629.10	61.51	37.49	619.26	0.10	0.09	-0.99	0.03	0.12	-0.99	0		
2620996613	SMP	1	1300.83	575.29	1026.99	563.83	14.60	14.60	2.76	12.80	12.80	2.40	1299.24	578.96	1307.80	579.08	1025.75	568.29	1034.79	568.19	1091.66	692.46	1058.35	608.14	0	1	1	2	-1	-1	7.97	35.99	628.72	61.23	37.40	616.59	0.10	0.09	-0.99	0.04	0.12	-0.99	0		
2621029946	SMP	1	1300.94	575.13	1027.08	563.70	14.87	14.87	2.77	12.92	12.92	2.40	1299.24	578.74	1307.75	578.85	1025.71	568.02	1034.75	568.04	1077.84	695.44	1046.55	609.56	0	1	1	2	-1	-1	7.97	36.01	628.43	61.07	37.34	614.94	0.09	0.09	-0.99	0.03	0.11	-0.99	0		
2621063273	SMP	1	1300.89	575.30	1027.02	563.74	14.98	14.98	2.78	12.82	12.82	2.40	1299.37	578.82	1307.73	578.99	1025.69	568.21	1034.74	568.14	1080.33	696.92	1043.06	607.35	0	1	1	2	-1	-1	7.96	36.01	628.70	60.89	37.20	613.10	0.10	0.09	-0.99	0.03	0.12	-0.99	0		
2621096609	SMP	1	1300.99	575.46	1027.13	563.99	15.03	15.03	2.79	13.14	13.14	2.40	1299.36	578.98	1307.84	579.13	1025.75	568.31	1034.78	568.58	1074.44	698.24	1035.71	607.87	0	1	1	2	-1	-1	7.95	35.96	628.46	60.80	37.10	612.24	0.09	0.09	-0.99	0.03	0.12	-0.99	0		
2621129929	SMP	1	1301.31	574.22	1026.88	563.66	14.23	14.23	2.77	13.17	13.17	2.41	1299.37	578.56	1307.85	578.84	1025.67	568.05	1034.66	568.08	1055.55	657.15	1039.16	608.78	0	1	1	2	-1	-1	7.95	36.03	628.41	60.77	37.14	611.77	0.08	0.13	-0.99	0.03	0.11	-0.99	0		
2621163270	SMP	1	1300.46	574.12	1026.26	563.36	14.57	14.57	2.77	13.15	13.15	2.42	1298.67	578.44	1307.32	578.47	1025.28	567.84	1033.77	567.90	1061.11	661.73	1039.59	606.71	0	1	1	2	-1	-1	8.06	36.03	627.57	61.72	37.68	620.07	0.09	0.12	-0.99	0.04	0.12	-0.99	0		
