[iView]
Converted from: NA
Date: NA
Version:	IDF Event Detector 3.0.20
Sample Rate:	30
Subject: NA
Description:	description info                                                                                                                                                                                                                                                

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for Blinks:
Event Type	Trial	Number	Start	End	Duration

Table Header for User Events:
Event Type	Trial	Number	Start	Description

Table Header for Trigger Line Events:
Event Type	Trial	Number	Start	Duration	Port Status

UserEvent	1	1	1070659883	# Message: 93
UserEvent	1	2	1072202998	# Message: 4
UserEvent	1	3	1072719324	# Message: 8
UserEvent	1	4	1075634391	# Message: 4
UserEvent	1	5	1076144743	# Message: 8
UserEvent	1	6	1079053797	# Message: 4
UserEvent	1	7	1079564149	# Message: 8
UserEvent	1	8	1082473225	# Message: 4
UserEvent	1	9	1082983561	# Message: 8
UserEvent	1	10	1085892616	# Message: 4
UserEvent	1	11	1086402959	# Message: 8
UserEvent	1	12	1089315028	# Message: 4
UserEvent	1	13	1089822374	# Message: 8
UserEvent	1	14	1092734462	# Message: 4
UserEvent	1	15	1093244786	# Message: 8
UserEvent	1	16	1096156860	# Message: 4
UserEvent	1	17	1096664194	# Message: 8
UserEvent	1	18	1099573268	# Message: 4
UserEvent	1	19	1100083614	# Message: 8
UserEvent	1	20	1102994666	# Message: 4
UserEvent	1	21	1103502013	# Message: 8
UserEvent	1	22	1106414080	# Message: 4
UserEvent	1	23	1106924425	# Message: 8
UserEvent	1	24	1109833496	# Message: 4
UserEvent	1	25	1110343833	# Message: 8
UserEvent	1	26	1113251897	# Message: 4
UserEvent	1	27	1113762247	# Message: 8
UserEvent	1	28	1116673304	# Message: 4
UserEvent	1	29	1117183656	# Message: 8
UserEvent	1	30	1120092715	# Message: 4
UserEvent	1	31	1120603073	# Message: 8
UserEvent	1	32	1123514121	# Message: 4
UserEvent	1	33	1124024468	# Message: 8
UserEvent	1	34	1126932545	# Message: 4
UserEvent	1	35	1127442880	# Message: 8
UserEvent	1	36	1130353943	# Message: 4
UserEvent	1	37	1130864333	# Message: 8
UserEvent	1	38	1133773350	# Message: 4
UserEvent	1	39	1134283703	# Message: 8
UserEvent	1	40	1137191762	# Message: 4
UserEvent	1	41	1137705114	# Message: 8
UserEvent	1	42	1140614176	# Message: 4
UserEvent	1	43	1141121520	# Message: 8
UserEvent	1	44	1144033592	# Message: 4
UserEvent	1	45	1144543936	# Message: 8
UserEvent	1	46	1147453011	# Message: 4
UserEvent	1	47	1147963339	# Message: 8
UserEvent	1	48	1150871400	# Message: 4
UserEvent	1	49	1151381751	# Message: 8
UserEvent	1	50	1154293839	# Message: 4
UserEvent	1	51	1154804164	# Message: 8
UserEvent	1	52	1157713221	# Message: 4
UserEvent	1	53	1158223574	# Message: 8
UserEvent	1	54	1161132640	# Message: 4
UserEvent	1	55	1161642981	# Message: 8
UserEvent	1	56	1164552040	# Message: 4
UserEvent	1	57	1165062382	# Message: 8
UserEvent	1	58	1167974461	# Message: 4
UserEvent	1	59	1168481801	# Message: 8
UserEvent	1	60	1171392880	# Message: 4
UserEvent	1	61	1171903211	# Message: 8
UserEvent	1	62	1174812269	# Message: 4
UserEvent	1	63	1175322620	# Message: 8
UserEvent	1	64	1178233678	# Message: 4
UserEvent	1	65	1178741027	# Message: 8
UserEvent	1	66	1181656147	# Message: 4
UserEvent	1	67	1182163443	# Message: 8
UserEvent	1	68	1185072528	# Message: 4
UserEvent	1	69	1185582849	# Message: 8
UserEvent	1	70	1188490925	# Message: 4
UserEvent	1	71	1189001253	# Message: 8
UserEvent	1	72	1191913319	# Message: 4
UserEvent	1	73	1192426659	# Message: 8
UserEvent	1	74	1195332729	# Message: 4
UserEvent	1	75	1195843082	# Message: 8
UserEvent	1	76	1198752139	# Message: 4
UserEvent	1	77	1199262489	# Message: 8
UserEvent	1	78	1202175546	# Message: 4
UserEvent	1	79	1202681893	# Message: 8
UserEvent	1	80	1205593956	# Message: 4
UserEvent	1	81	1206101303	# Message: 8
UserEvent	1	82	1209012368	# Message: 4
UserEvent	1	83	1209525733	# Message: 8
UserEvent	1	84	1212430783	# Message: 4
UserEvent	1	85	1212941125	# Message: 8
UserEvent	1	86	1215852183	# Message: 4
UserEvent	1	87	1216362536	# Message: 8
UserEvent	1	88	1219274596	# Message: 4
UserEvent	1	89	1219781938	# Message: 8
UserEvent	1	90	1222691006	# Message: 4
UserEvent	1	91	1223204355	# Message: 8
UserEvent	1	92	1226110407	# Message: 4
UserEvent	1	93	1226623763	# Message: 8
UserEvent	1	94	1229532835	# Message: 4
UserEvent	1	95	1230040177	# Message: 8
UserEvent	1	96	1232952254	# Message: 4
UserEvent	1	97	1233462584	# Message: 8
UserEvent	1	98	1236373644	# Message: 4
UserEvent	1	99	1236880987	# Message: 8
UserEvent	1	100	1239792067	# Message: 4
UserEvent	1	101	1240305407	# Message: 8
UserEvent	1	102	1243210459	# Message: 4
UserEvent	1	103	1243723812	# Message: 8
UserEvent	1	104	1246632868	# Message: 4
UserEvent	1	105	1247140222	# Message: 8
UserEvent	1	106	1250052281	# Message: 4
UserEvent	1	107	1250562631	# Message: 8
UserEvent	1	108	1253474706	# Message: 4
UserEvent	1	109	1253982044	# Message: 8
UserEvent	1	110	1256891104	# Message: 4
UserEvent	1	111	1257401451	# Message: 8
UserEvent	1	112	1260312509	# Message: 4
UserEvent	1	113	1260822859	# Message: 8
UserEvent	1	114	1263732922	# Message: 4
UserEvent	1	115	1264242276	# Message: 8
UserEvent	1	116	1267154333	# Message: 4
UserEvent	1	117	1267661681	# Message: 8
UserEvent	1	118	1270572742	# Message: 4
UserEvent	1	119	1271080092	# Message: 8
UserEvent	1	120	1273992152	# Message: 4
UserEvent	1	121	1274499498	# Message: 8
UserEvent	1	122	1277411563	# Message: 4
UserEvent	1	123	1277921910	# Message: 8
UserEvent	1	124	1280831962	# Message: 4
UserEvent	1	125	1281342318	# Message: 8
UserEvent	1	126	1284251386	# Message: 4
UserEvent	1	127	1284761735	# Message: 8
UserEvent	1	128	1287673790	# Message: 4
UserEvent	1	129	1288181138	# Message: 8
Fixation L	1	1	1057569949	1058136532	566583	1079.16	667.73	7	10	-1	19.09	19.09
Saccade L	1	1	1058136532	1058236510	99978	1083.78	664.86	890.71	356.89	3.61	108.27	0.67	36.07	1600.52	-1538.05	1014.55
Fixation L	1	2	1058236510	1058369831	133321	883.79	363.92	9	10	-1	17.76	17.76
Saccade L	1	2	1058369831	1058436486	66655	880.87	365.54	598.07	180.07	2.80	127.18	1.00	41.99	1896.32	-1839.26	1412.15
Fixation L	1	3	1058436486	1058636465	199979	577.96	170.80	25	16	-1	17.31	17.31
Saccade L	1	3	1058636465	1058669807	33342	574.66	163.48	698.28	212.81	0.72	74.05	1.00	21.61	1104.14	-1081.68	768.79
Fixation L	1	4	1058669807	1058769786	99979	709.21	218.03	16	7	-1	17.10	17.10
Saccade L	1	4	1058769786	1058836448	66662	712.21	219.69	740.63	363.38	1.26	48.26	0.50	18.91	694.79	-625.26	590.74
Fixation L	1	5	1058836448	1059536374	699926	755.75	372.05	20	28	-1	16.86	16.86
Saccade L	1	5	1059536374	1059569698	33324	752.10	384.84	752.72	386.38	0.04	1.46	1.00	1.16	3.51	-12.32	5.72
Fixation L	1	6	1059569698	1059669695	99997	751.92	388.04	1	2	-1	16.79	16.79
Saccade L	1	6	1059669695	1059803013	133318	752.15	388.40	625.23	846.66	5.25	115.10	0.25	39.37	1724.98	-1339.71	947.08
Fixation L	1	7	1059803013	1060002994	199981	625.93	844.94	8	10	-1	16.93	16.93
Saccade L	1	7	1060002994	1060036310	33316	620.25	846.36	628.97	767.13	0.49	44.36	1.00	14.84	659.84	-579.98	439.14
Fixation L	1	8	1060036310	1060336281	299971	632.18	790.05	11	37	-1	16.43	16.43
Saccade L	1	8	1060336281	1060369611	33330	635.73	788.24	642.04	788.18	0.07	3.51	1.00	2.24	20.92	-40.17	20.94
Fixation L	1	9	1060369611	1060569582	199971	643.97	784.83	4	10	-1	15.94	15.94
Blink L	1	1	1060636243	1062769339	2133096
Saccade L	1	9	1062769339	1062869348	100009	613.68	555.27	597.44	321.25	14.69	560.50	1.00	146.91	453.93	-7561.42	2198.75
Fixation L	1	10	1062869348	1063035979	166631	610.21	318.81	22	5	-1	17.00	17.00
Saccade L	1	10	1063035979	1063069314	33335	606.79	315.48	710.72	316.27	0.57	57.83	1.00	17.18	822.27	-864.02	593.35
Fixation L	1	11	1063069314	1063335949	266635	724.75	315.63	18	4	-1	15.54	15.54
Saccade L	1	11	1063335949	1063369277	33328	728.12	313.05	784.05	323.22	0.39	31.63	1.00	11.61	461.44	-399.83	346.87
Fixation L	1	12	1063369277	1063535930	166653	801.07	336.70	24	23	-1	15.19	15.19
Saccade L	1	12	1063535930	1063602623	66693	808.63	346.93	677.57	461.24	1.50	85.16	1.00	22.48	1250.78	-1164.40	639.55
Fixation L	1	13	1063602623	1063769226	166603	668.34	476.81	21	21	-1	15.43	15.43
Saccade L	1	13	1063769226	1063835887	66661	658.46	482.10	674.30	577.67	0.87	51.85	1.00	13.11	741.79	-660.27	365.74
Fixation L	1	14	1063835887	1064035867	199980	693.17	587.05	32	13	-1	16.32	16.32
Saccade L	1	14	1064035867	1064069205	33338	705.70	591.53	710.96	593.89	0.14	8.17	1.00	4.08	14.06	-74.52	29.84
Fixation L	1	15	1064069205	1064202520	133315	718.82	598.66	14	10	-1	16.34	16.34
Blink L	1	2	1064269178	1067402165	3132987
Saccade L	1	15	1067402165	1067435484	33319	560.13	323.29	548.76	252.50	2.06	143.40	1.00	61.81	-550.17	-1552.69	943.88
Fixation L	1	16	1067435484	1067702132	266648	542.35	250.26	10	15	-1	16.23	16.23
Saccade L	1	16	1067702132	1067768782	66650	543.41	256.19	1040.77	751.65	5.31	221.75	1.00	79.73	3319.22	-3277.79	2904.74
Fixation L	1	17	1067768782	1067968769	199987	1031.66	753.78	13	14	-1	16.31	16.31
Saccade L	1	17	1067968769	1068035429	66660	1032.23	756.35	877.61	892.54	2.03	108.78	0.50	30.39	1532.99	-1560.41	977.18
Blink L	1	3	1068035429	1068668690	633261
Saccade L	1	18	1068668690	1068702015	33325	747.25	628.14	772.03	467.94	8.08	692.46	1.00	242.41	-1308.14	-9034.22	4226.15
Fixation L	1	18	1068702015	1068901992	199977	740.79	466.83	42	6	-1	17.39	17.39
Saccade L	1	19	1068901992	1068935328	33336	729.93	465.32	727.60	461.47	0.05	2.50	1.00	1.41	8.72	-20.95	10.55
Fixation L	1	19	1068935328	1069101966	166638	723.65	459.79	7	3	-1	17.58	17.58
Blink L	1	4	1069101966	1069235285	133319
Saccade L	1	20	1069235285	1069268621	33336	712.73	497.72	707.01	540.04	4.21	480.60	0.00	126.43	356.47	-7188.83	2624.68
Blink L	1	5	1069268621	1071001762	1733141
Fixation L	1	20	1071001762	1071901654	899892	706.58	405.05	24	17	-1	13.73	13.73
Saccade L	1	21	1071901654	1071968314	66660	707.30	407.27	690.09	201.54	1.77	76.25	0.50	26.54	1084.17	-984.63	783.07
Fixation L	1	21	1071968314	1072634912	666598	677.23	209.57	29	17	-1	12.58	12.58
Saccade L	1	22	1072634912	1072668246	33334	670.78	216.65	712.59	226.73	0.31	23.93	1.00	9.28	325.66	-228.41	224.79
Fixation L	1	22	1072668246	1072768226	99980	729.56	239.18	29	19	-1	13.44	13.44
Saccade L	1	23	1072768226	1072801569	33343	741.91	245.40	741.42	257.21	0.17	8.70	1.00	5.09	16.95	-54.11	34.34
Fixation L	1	23	1072801569	1072968200	166631	743.91	260.20	6	9	-1	13.97	13.97
Saccade L	1	24	1072968200	1073034864	66664	744.32	267.07	653.65	347.80	1.06	45.05	0.50	15.91	613.95	-620.02	455.87
Fixation L	1	24	1073034864	1073234842	199978	650.08	358.05	11	18	-1	14.28	14.28
Saccade L	1	25	1073234842	1073268174	33332	644.99	366.57	682.78	404.83	0.39	29.92	1.00	11.57	411.15	-414.71	324.59
Fixation L	1	25	1073268174	1073401497	133323	674.50	423.07	15	30	-1	14.34	14.34
Saccade L	1	26	1073401497	1073568134	166637	677.77	435.46	607.59	93.57	4.66	106.93	0.80	27.95	1567.92	-1508.02	660.73
Fixation L	1	26	1073568134	1073701456	133322	601.28	78.80	19	26	-1	14.10	14.10
Saccade L	1	27	1073701456	1073734792	33336	591.88	66.99	590.15	60.51	0.14	6.16	1.00	4.12	17.22	-36.47	21.22
Fixation L	1	27	1073734792	1073834771	99979	585.21	54.53	9	10	-1	14.02	14.02
Saccade L	1	28	1073834771	1073868116	33345	580.93	52.40	665.77	330.99	1.54	161.94	1.00	46.33	2383.12	-2366.62	1662.19
Fixation L	1	28	1073868116	1073968091	99975	694.14	334.79	42	5	-1	14.17	14.17
Saccade L	1	29	1073968091	1074001430	33339	707.96	335.98	711.96	336.06	0.08	4.17	1.00	2.33	-3.83	-29.16	19.69
Fixation L	1	29	1074001430	1074601414	599984	716.00	354.94	7	36	-1	14.87	14.87
Blink L	1	6	1074634688	1074734688	100000
Fixation L	1	30	1074734688	1074868002	133314	721.75	376.64	25	16	-1	13.78	13.78
Saccade L	1	30	1074868002	1074901348	33346	737.70	385.32	751.25	388.24	0.17	7.72	1.00	5.13	42.89	-91.39	61.81
Fixation L	1	31	1074901348	1075334615	433267	757.07	389.56	15	8	-1	13.95	13.95
Saccade L	1	31	1075334615	1075401279	66664	750.54	384.07	706.08	232.44	1.39	77.63	0.50	20.87	1141.90	-1011.84	613.90
Fixation L	1	32	1075401279	1075601252	199973	694.60	212.29	19	29	-1	14.21	14.21
Saccade L	1	32	1075601252	1075634573	33321	688.09	203.31	675.97	200.92	0.13	6.87	1.00	3.98	41.19	-48.33	43.85
Fixation L	1	33	1075634573	1075934550	299977	660.21	195.12	25	11	-1	13.38	13.38
Fixation L	1	34	1076034561	1076234505	199944	766.99	380.11	8	39	-1	12.10	12.10
Saccade L	1	33	1076234505	1076267849	33344	771.01	400.66	716.51	400.44	0.40	30.33	1.00	11.92	423.13	-308.48	271.71
Fixation L	1	35	1076267849	1077367718	1099869	706.90	409.15	25	18	-1	12.53	12.53
Saccade L	1	34	1077367718	1077434375	66657	705.13	406.33	689.31	411.41	12.05	450.29	0.50	180.85	6733.16	-6654.57	6665.78
Fixation L	1	36	1077434375	1078900876	1466501	703.40	411.00	35	12	-1	12.77	12.77
Saccade L	1	35	1078900876	1078934219	33343	684.87	407.25	677.78	257.90	0.88	83.18	1.00	26.38	1241.44	-1239.59	866.93
Fixation L	1	37	1078934219	1079000870	66651	669.08	241.87	13	24	-1	13.12	13.12
Saccade L	1	36	1079000870	1079034196	33326	664.54	233.40	659.14	222.14	0.23	14.96	1.00	6.77	61.36	-120.14	77.89
Fixation L	1	38	1079034196	1079400832	366636	653.02	220.68	14	7	-1	12.79	12.79
Saccade L	1	37	1079400832	1079467492	66660	656.73	217.15	675.77	441.60	1.76	85.44	1.00	26.44	1267.42	-1246.67	905.45
Fixation L	1	39	1079467492	1079934104	466612	694.46	443.95	26	22	-1	13.27	13.27
Saccade L	1	38	1079934104	1079967426	33322	695.35	432.65	695.95	429.36	0.06	1.91	0.00	1.84	2.19	-0.87	1.36
Fixation L	1	40	1079967426	1082600475	2633049	690.10	412.75	23	26	-1	13.44	13.44
Saccade L	1	39	1082600475	1082633799	33324	704.63	424.42	705.56	424.97	0.03	1.07	1.00	0.89	10.62	-6.39	6.67
Fixation L	1	41	1082633799	1084733569	2099770	702.06	420.29	33	15	-1	13.51	13.51
Saccade L	1	40	1084733569	1084766892	33323	680.62	412.21	680.20	411.36	0.02	1.28	0.00	0.70	5.40	-15.68	8.17
Fixation L	1	42	1084766892	1085633464	866572	688.67	410.21	11	3	-1	14.17	14.17
Blink L	1	7	1085666795	1085800115	133320
Saccade L	1	41	1085800115	1085833439	33324	688.83	362.55	692.20	405.93	3.81	430.90	0.00	114.20	363.19	-6438.16	2381.58
Fixation L	1	43	1085833439	1086633354	799915	695.86	417.39	8	38	-1	12.63	12.63
Saccade L	1	42	1086633354	1086666684	33330	696.31	444.57	697.97	448.92	0.10	5.59	1.00	3.14	18.45	-45.01	26.09
Fixation L	1	44	1086666684	1087233282	566598	700.30	458.75	11	32	-1	12.85	12.85
Saccade L	1	43	1087233282	1087266619	33337	701.18	435.50	697.81	424.95	0.15	6.51	0.00	4.56	25.86	-80.60	38.99
Fixation L	1	45	1087266619	1089233060	1966441	697.92	405.15	16	32	-1	14.07	14.07
Saccade L	1	44	1089233060	1089266395	33335	707.40	394.19	708.61	394.68	0.04	1.72	1.00	1.11	10.10	-3.15	6.76
Fixation L	1	46	1089266395	1090232948	966553	701.15	397.76	18	30	-1	13.01	13.01
Saccade L	1	45	1090232948	1090266283	33335	694.18	418.11	697.95	421.95	0.08	4.07	1.00	2.31	48.82	-9.75	27.77
Fixation L	1	47	1090266283	1090766225	499942	700.76	448.19	6	40	-1	13.37	13.37
Saccade L	1	46	1090766225	1090799562	33337	697.29	461.50	688.04	461.58	0.12	5.68	1.00	3.64	53.50	-44.23	50.26
Fixation L	1	48	1090799562	1091999425	1199863	682.80	458.40	24	19	-1	12.57	12.57
Saccade L	1	47	1091999425	1092032751	33326	678.63	455.00	677.18	434.81	0.28	11.26	1.00	8.42	62.03	39.34	50.07
Fixation L	1	49	1092032751	1092232727	199976	683.42	424.90	9	38	-1	12.86	12.86
Saccade L	1	48	1092232727	1092266063	33336	686.89	410.93	689.72	405.30	0.09	3.50	1.00	2.61	5.95	-23.42	16.45
Fixation L	1	50	1092266063	1094499139	2233076	692.25	413.43	21	27	-1	12.69	12.69
Saccade L	1	49	1094499139	1094532480	33341	704.59	418.91	706.13	418.45	0.03	1.16	1.00	1.02	-0.82	-3.93	2.68
Fixation L	1	51	1094532480	1097032191	2499711	704.61	400.33	13	35	-1	12.75	12.75
Saccade L	1	50	1097032191	1097065532	33341	698.77	393.08	698.68	393.91	0.03	1.84	1.00	0.94	25.39	-12.96	14.64
Fixation L	1	52	1097065532	1097798777	733245	694.84	418.87	7	42	-1	12.80	12.80
Saccade L	1	51	1097798777	1097832100	33323	695.63	435.92	698.30	437.76	0.06	1.90	1.00	1.68	8.19	2.14	4.65
Fixation L	1	53	1097832100	1098998646	1166546	693.21	449.79	29	20	-1	13.25	13.25
Saccade L	1	52	1098998646	1099031971	33325	673.62	443.61	669.93	442.50	0.05	2.14	1.00	1.37	4.80	-23.30	10.82
Fixation L	1	54	1099031971	1103064862	4032891	673.62	443.12	27	22	-1	13.30	13.30
Saccade L	1	53	1103064862	1103098184	33322	681.65	451.96	680.56	457.05	0.04	2.89	1.00	1.21	32.96	-2.71	13.24
Fixation L	1	55	1103098184	1105497918	2399734	672.61	453.36	27	22	-1	12.89	12.89
Saccade L	1	54	1105497918	1105531256	33338	687.16	456.34	688.53	456.15	0.06	2.39	0.00	1.73	-5.28	-16.56	9.73
Fixation L	1	56	1105531256	1110963975	5432719	679.12	450.65	28	21	-1	12.73	12.73
Saccade L	1	55	1110963975	1110997315	33340	688.11	442.97	687.97	441.53	0.03	1.43	0.00	0.98	1.10	-7.08	3.46
Fixation L	1	57	1110997315	1112930430	1933115	684.74	436.67	14	32	-1	12.35	12.35
