## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	6913                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1440	900
## Calibration Point 0:	Position(720;450)
## Calibration Point 1:	Position(360;45)
## Calibration Point 2:	Position(1368;225)
## Calibration Point 3:	Position(1080;855)
## Calibration Point 4:	Position(72;675)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023402-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
3072346683	SMP	1	1310.89	589.23	1039.52	572.45	16.94	16.94	3.20	15.83	15.83	2.89	1309.55	592.49	1317.78	592.52	1038.97	575.48	1047.47	575.59	1022.88	498.51	975.06	477.96	0	1	1	2	-1	-1	6.03	33.74	637.08	59.76	36.62	627.72	0.11	0.08	-0.99	0.06	0.07	-1.00	0		
3072380027	SMP	1	1311.10	588.67	1039.71	571.84	17.08	17.08	3.21	15.67	15.67	2.90	1309.85	592.06	1318.16	592.15	1039.23	574.98	1047.75	575.06	1025.35	498.21	978.30	476.93	0	1	1	2	-1	-1	5.95	33.81	636.79	59.69	36.71	627.55	0.11	0.09	-0.99	0.06	0.07	-1.00	0		
3072413350	SMP	1	1311.40	588.41	1039.95	571.42	17.00	17.00	3.22	15.21	15.21	2.90	1310.12	591.78	1318.38	591.73	1039.49	574.75	1047.88	574.92	1025.33	499.43	980.33	474.28	0	1	1	2	-1	-1	5.90	33.88	636.77	59.71	36.79	628.18	0.11	0.08	-0.99	0.06	0.08	-0.99	0		
3072446684	SMP	1	1311.39	588.93	1039.92	572.48	17.12	17.12	3.23	16.17	16.17	2.93	1310.01	592.19	1318.33	592.35	1039.52	575.26	1047.86	575.37	1026.03	499.31	978.76	476.63	0	1	1	2	-1	-1	5.92	33.75	636.47	59.77	36.73	628.82	0.11	0.09	-0.99	0.06	0.06	-1.00	0		
3072480005	SMP	1	1311.04	589.04	1039.60	572.52	17.24	17.24	3.24	16.24	16.24	2.96	1309.75	592.34	1318.08	592.37	1039.05	575.43	1047.66	575.65	1027.38	499.68	977.94	476.73	0	1	1	2	-1	-1	5.97	33.72	636.18	59.73	36.62	627.67	0.11	0.08	-0.99	0.06	0.06	-1.00	0		
3072513346	SMP	1	1310.86	588.44	1038.87	571.79	17.16	17.16	3.24	15.38	15.38	2.95	1309.48	591.76	1317.73	591.74	1038.81	574.84	1047.17	574.92	1026.81	500.39	989.76	476.73	0	1	1	2	-1	-1	6.03	33.84	636.14	59.88	36.80	628.45	0.10	0.08	-0.99	0.08	0.07	-0.99	0		
3072546664	SMP	1	1310.87	588.71	1039.16	572.12	17.26	17.26	3.25	15.67	15.67	2.95	1309.60	591.97	1317.85	592.01	1038.90	575.08	1047.31	575.16	1027.34	501.24	984.39	477.67	0	1	1	2	-1	-1	6.01	33.79	636.15	59.85	36.75	628.43	0.11	0.08	-0.99	0.07	0.06	-1.00	0		
3072580002	SMP	1	1311.01	588.66	1039.11	571.83	17.31	17.31	3.26	15.20	15.20	2.94	1309.70	591.91	1317.91	591.94	1038.99	575.01	1047.38	575.12	1026.53	501.29	993.45	476.50	0	1	1	2	-1	-1	5.99	33.81	636.27	59.85	36.77	628.60	0.11	0.08	-0.99	0.07	0.07	-0.99	0		
3072613326	SMP	1	1310.97	588.14	1038.97	571.70	17.30	17.30	3.27	15.37	15.37	2.94	1309.58	591.54	1317.76	591.51	1038.88	574.72	1047.21	574.87	1025.58	500.69	995.00	476.21	0	1	1	2	-1	-1	6.02	33.91	636.56	59.94	36.86	629.24	0.10	0.09	-0.99	0.07	0.07	-0.99	0		
3072646662	SMP	1	1310.92	588.25	1039.00	571.77	17.01	17.01	3.27	15.33	15.33	2.93	1309.55	591.65	1317.73	591.62	1038.84	574.83	1047.21	575.04	1025.62	499.99	995.71	475.56	0	1	1	2	-1	-1	6.03	33.91	636.91	59.95	36.83	629.31	0.10	0.09	-0.99	0.07	0.07	-0.99	0		
