## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	5326                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1440	900
## Calibration Point 0:	Position(720;450)
## Calibration Point 1:	Position(360;45)
## Calibration Point 2:	Position(1368;225)
## Calibration Point 3:	Position(1080;855)
## Calibration Point 4:	Position(72;675)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023402-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2856803867	SMP	1	1298.86	582.12	1013.85	568.13	18.15	18.15	3.29	16.84	16.84	2.94	1297.09	586.06	1306.13	586.11	1013.21	571.55	1022.32	571.45	1068.71	664.99	1098.74	661.24	0	1	1	2	-1	-1	8.07	33.42	607.75	61.65	35.59	596.95	0.10	0.10	-0.99	0.05	0.07	-1.00	0		
2856837184	SMP	1	1298.89	582.17	1013.84	567.55	18.19	18.19	3.30	16.26	16.26	2.94	1297.09	586.05	1306.14	586.10	1013.22	571.50	1022.32	571.46	1067.75	665.79	1097.15	650.70	0	1	1	2	-1	-1	8.07	33.43	607.81	61.76	35.66	598.01	0.09	0.10	-0.99	0.05	0.09	-0.99	0		
2856870526	SMP	1	1298.84	582.21	1013.87	567.62	18.18	18.18	3.30	16.39	16.39	2.94	1297.10	586.04	1306.15	586.11	1013.24	571.44	1022.31	571.39	1068.27	664.98	1099.07	653.52	0	1	1	2	-1	-1	8.07	33.43	607.80	61.88	35.74	599.18	0.10	0.10	-0.99	0.05	0.09	-0.99	0		
2856903847	SMP	1	1299.08	582.12	1014.24	567.65	18.19	18.19	3.31	16.67	16.67	2.95	1297.43	585.93	1306.52	585.95	1013.50	571.09	1022.95	571.26	1069.22	666.48	1102.96	661.89	0	1	1	2	-1	-1	8.00	33.45	607.70	61.60	35.67	597.32	0.10	0.10	-0.99	0.06	0.08	-1.00	0		
2856937184	SMP	1	1299.81	581.82	1015.09	567.10	17.94	17.94	3.30	17.06	17.06	2.98	1298.26	585.74	1307.33	585.78	1014.35	570.62	1023.63	570.71	1071.18	666.37	1102.64	663.50	0	1	1	2	-1	-1	7.84	33.48	607.66	61.56	35.83	598.36	0.10	0.10	-0.99	0.05	0.08	-1.00	0		
2856970510	SMP	1	1300.36	581.67	1015.48	566.96	18.01	18.01	3.30	17.12	17.12	3.00	1298.67	585.60	1307.73	585.67	1014.82	570.29	1024.14	570.35	1069.34	665.34	1106.93	670.46	0	1	1	2	-1	-1	7.76	33.50	607.63	61.47	35.90	598.44	0.10	0.10	-0.99	0.06	0.07	-1.00	0		
2857003845	SMP	1	1300.18	581.57	1015.28	566.73	18.14	18.14	3.30	17.26	17.26	3.02	1298.49	585.52	1307.56	585.53	1014.77	570.06	1024.07	570.24	1069.45	663.57	1111.98	671.94	0	1	1	2	-1	-1	7.80	33.52	607.59	61.51	35.95	598.67	0.10	0.10	-0.99	0.06	0.07	-1.00	0		
2857037165	SMP	1	1300.02	581.89	1015.30	566.86	18.43	18.43	3.31	17.39	17.39	3.04	1298.36	585.72	1307.40	585.76	1014.77	570.27	1024.05	570.29	1070.39	665.35	1114.58	674.37	0	1	1	2	-1	-1	7.82	33.49	607.67	61.52	35.93	598.80	0.10	0.10	-0.99	0.06	0.07	-1.00	0		
2857070506	SMP	1	1300.37	582.06	1015.74	566.93	18.34	18.34	3.32	17.42	17.42	3.06	1298.74	586.03	1307.79	586.02	1015.30	570.41	1024.27	570.36	1071.05	663.96	1115.79	675.50	0	1	1	2	-1	-1	7.75	33.43	607.68	61.68	36.05	601.03	0.10	0.10	-0.99	0.06	0.07	-1.00	0		
2857103827	SMP	1	1300.63	581.92	1015.97	566.91	18.26	18.26	3.32	17.30	17.30	3.08	1298.99	585.98	1307.95	585.97	1015.51	570.38	1024.75	570.34	1071.09	660.96	1119.89	676.12	0	1	1	2	-1	-1	7.72	33.46	608.01	61.51	35.99	600.01	0.10	0.11	-0.99	0.06	0.07	-1.00	0		
