## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	6384                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1440	900
## Calibration Point 0:	Position(720;450)
## Calibration Point 1:	Position(360;45)
## Calibration Point 2:	Position(1368;225)
## Calibration Point 3:	Position(1080;855)
## Calibration Point 4:	Position(72;675)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023402-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
3343516739	SMP	1	1289.85	580.74	1016.90	572.14	14.12	14.12	2.80	12.17	12.17	2.32	1288.62	584.51	1296.71	584.49	1016.55	576.02	1025.11	576.11	1117.85	671.34	1111.20	623.98	0	1	1	2	-1	-1	10.34	35.59	641.34	64.39	36.62	629.44	0.10	0.10	-0.99	0.06	0.10	-0.99	0		
3343550044	SMP	1	1290.53	581.00	1017.50	572.25	14.54	14.54	2.80	12.64	12.64	2.33	1289.09	584.67	1297.29	584.67	1017.21	575.82	1025.62	575.92	1114.32	672.07	1109.78	636.35	0	1	1	2	-1	-1	10.23	35.54	641.08	64.32	36.68	629.84	0.10	0.10	-0.99	0.06	0.09	-0.99	0		
3343583362	SMP	1	1291.26	580.46	1018.28	571.95	13.89	13.89	2.78	12.88	12.88	2.35	1289.90	584.38	1297.99	584.38	1017.81	575.44	1026.46	575.64	1111.97	665.15	1106.68	642.80	0	1	1	2	-1	-1	10.08	35.62	641.37	63.99	36.64	628.06	0.10	0.11	-0.99	0.06	0.09	-0.99	0		
3343616697	SMP	1	1291.58	580.47	1018.46	571.59	14.12	14.12	2.77	12.62	12.62	2.36	1290.25	584.27	1298.43	584.29	1018.30	575.29	1026.67	575.12	1111.18	665.11	1111.38	643.71	0	1	1	2	-1	-1	10.00	35.64	641.33	64.07	36.79	629.48	0.10	0.10	-0.99	0.07	0.09	-0.99	0		
3343650022	SMP	1	1291.66	581.06	1018.53	572.31	14.56	14.56	2.78	13.06	13.06	2.38	1290.37	584.78	1298.53	584.78	1018.32	575.45	1026.77	575.54	1110.45	664.40	1107.49	672.02	0	1	1	2	-1	-1	9.97	35.54	641.34	64.02	36.71	629.14	0.10	0.10	-0.99	0.07	0.07	-1.00	0		
3343683357	SMP	1	1291.85	581.17	1018.77	571.93	14.41	14.41	2.78	12.41	12.41	2.38	1290.62	585.08	1298.77	585.12	1018.53	575.61	1027.03	575.65	1111.10	660.66	1106.41	649.35	0	1	1	2	-1	-1	9.92	35.47	641.25	63.91	36.65	628.52	0.10	0.11	-0.99	0.07	0.09	-0.99	0		
3343716677	SMP	1	1291.95	580.90	1018.75	571.58	14.00	14.00	2.76	12.18	12.18	2.37	1290.87	585.14	1298.90	585.13	1018.76	575.53	1027.22	575.68	1113.11	649.67	1115.10	635.10	0	1	1	2	-1	-1	9.89	35.48	641.63	63.87	36.66	628.54	0.11	0.12	-0.99	0.08	0.11	-0.99	0		
3343750014	SMP	1	1292.11	581.05	1018.78	571.93	14.59	14.59	2.77	12.91	12.91	2.38	1290.82	585.00	1298.89	585.00	1018.72	575.46	1027.19	575.45	1110.95	653.20	1110.83	658.23	0	1	1	2	-1	-1	9.90	35.52	641.85	63.84	36.67	628.21	0.10	0.11	-0.99	0.07	0.09	-0.99	0		
3343783341	SMP	1	1291.69	581.16	1018.30	571.72	14.58	14.58	2.78	12.49	12.49	2.38	1290.50	585.02	1298.59	585.12	1018.48	575.60	1026.92	575.62	1112.88	652.81	1123.51	646.68	0	1	1	2	-1	-1	9.96	35.51	641.97	63.88	36.63	628.07	0.10	0.11	-0.99	0.08	0.10	-0.99	0		
3343816674	SMP	1	1291.54	581.00	1018.27	572.07	14.78	14.78	2.79	12.78	12.78	2.39	1290.19	585.02	1298.36	585.10	1018.24	575.78	1026.54	575.84	1111.55	647.18	1110.92	651.92	0	1	1	2	-1	-1	10.02	35.50	641.75	64.01	36.63	628.73	0.10	0.11	-0.99	0.07	0.09	-0.99	0		
