## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4112                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1440	900
## Calibration Point 0:	Position(720;450)
## Calibration Point 1:	Position(360;45)
## Calibration Point 2:	Position(1368;225)
## Calibration Point 3:	Position(1080;855)
## Calibration Point 4:	Position(72;675)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023402-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
1661836234	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0		
1661869512	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0		
1661902831	SMP	1	1316.84	556.12	1036.57	539.58	10.55	10.55	3.20	12.53	12.53	3.04	1313.27	562.16	1321.79	562.07	1031.38	544.45	1040.40	544.59	852.69	473.81	588.31	547.31	0	1	1	2	-1	-1	5.08	38.63	617.14	59.11	41.32	606.07	0.02	0.18	-0.98	-0.12	0.13	-0.98	0		
1661936175	SMP	1	1317.49	557.54	0.00	0.00	16.42	16.42	3.17	0.00	0.00	0.00	1312.27	561.84	1320.98	561.93	0.00	0.00	0.00	0.00	680.32	657.08	0.00	0.00	0	1	0	1	-1	-1	5.26	38.67	617.06	0.00	0.00	0.00	-0.04	0.11	-0.99	0.00	0.00	0.00	0		
1661969496	SMP	1	1315.81	555.53	1032.86	540.76	16.38	16.38	3.15	14.72	14.72	2.97	1310.73	560.88	1319.34	560.96	1028.57	545.30	1037.61	545.40	685.16	520.04	686.26	575.43	0	1	1	2	-1	-1	5.58	38.92	618.05	59.64	41.16	606.00	-0.04	0.15	-0.99	-0.08	0.11	-0.99	0		
1662002830	SMP	1	1313.63	556.38	1030.27	542.48	16.13	16.13	3.12	15.70	15.70	2.96	1308.53	561.15	1317.19	561.22	1026.30	546.58	1035.37	546.80	686.68	593.35	708.60	616.01	0	1	1	2	-1	-1	6.01	38.89	618.37	60.06	40.89	605.89	-0.04	0.13	-0.99	-0.07	0.10	-0.99	0		
1662036150	SMP	1	1311.17	556.90	1028.12	543.81	16.60	16.60	3.12	15.72	15.72	2.94	1306.21	561.49	1314.88	561.43	1023.80	547.94	1032.95	548.14	692.07	615.93	696.07	615.87	0	1	1	2	-1	-1	6.46	38.86	618.76	60.49	40.61	605.51	-0.03	0.12	-0.99	-0.08	0.10	-0.99	0		
1662069491	SMP	1	1309.62	556.16	1026.32	544.62	16.30	16.30	3.10	15.68	15.68	2.93	1304.60	560.91	1313.23	560.86	1022.31	548.63	1031.11	548.82	692.38	600.55	699.87	625.49	0	1	1	2	-1	-1	6.79	39.01	619.36	60.96	40.57	607.00	-0.04	0.13	-0.99	-0.08	0.09	-0.99	0		
1662102816	SMP	1	1308.35	555.39	1024.97	545.22	16.37	16.37	3.09	15.91	15.91	2.93	1303.37	560.15	1311.97	560.09	1021.19	548.99	1029.94	548.99	693.69	597.74	707.91	658.55	0	1	1	2	-1	-1	7.04	39.20	619.98	61.32	40.61	608.33	-0.04	0.13	-0.99	-0.07	0.08	-0.99	0		
1662136148	SMP	1	1306.72	555.25	1023.60	545.55	16.33	16.33	3.08	15.28	15.28	2.91	1301.79	559.76	1310.51	559.80	1019.38	549.37	0.00	0.00	696.88	607.12	696.31	652.60	0	1	1	2	-1	-1	7.34	39.25	619.75	61.63	40.52	608.11	-0.03	0.12	-0.99	-0.09	0.08	-0.99	0		
