## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	5145                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1440	900
## Calibration Point 0:	Position(720;450)
## Calibration Point 1:	Position(360;45)
## Calibration Point 2:	Position(1368;225)
## Calibration Point 3:	Position(1080;855)
## Calibration Point 4:	Position(72;675)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023402-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2372724095	SMP	1	1301.04	572.32	1025.88	553.27	15.87	15.87	3.04	13.08	13.08	2.45	1299.77	575.98	1308.11	575.83	1024.35	557.68	1033.16	557.79	1106.26	688.50	959.35	607.50	0	1	1	2	-1	-1	7.89	36.62	628.90	61.58	39.49	617.09	0.11	0.09	-0.99	0.02	0.11	-0.99	0		
2372757421	SMP	1	1301.49	572.13	1026.09	553.53	16.10	16.10	3.04	13.62	13.62	2.47	1300.13	575.78	1308.55	575.72	1024.65	557.51	1033.37	557.59	1105.79	687.53	961.78	619.31	0	1	1	2	-1	-1	7.81	36.65	628.90	61.55	39.53	617.29	0.10	0.09	-0.99	0.02	0.10	-1.00	0		
2372790755	SMP	1	1301.94	571.97	1026.62	553.45	15.80	15.80	3.03	13.28	13.28	2.47	1300.57	575.86	1308.97	575.75	1025.13	557.63	1033.94	557.72	1106.71	682.56	962.96	617.77	0	1	1	2	-1	-1	7.73	36.65	629.20	61.41	39.49	616.91	0.10	0.10	-0.99	0.02	0.10	-0.99	0		
2372824076	SMP	1	1301.93	571.94	1026.49	553.04	15.86	15.86	3.02	13.01	13.01	2.46	1300.53	575.89	1308.94	575.78	1025.08	557.57	1033.81	557.66	1108.15	679.01	964.97	609.52	0	1	1	2	-1	-1	7.74	36.67	629.56	61.45	39.51	617.17	0.10	0.10	-0.99	0.02	0.12	-0.99	0		
2372857422	SMP	1	1301.65	572.24	1026.21	553.26	16.31	16.31	3.03	13.61	13.61	2.47	1300.31	575.79	1308.71	575.70	1024.74	557.40	1033.43	557.47	1110.55	685.57	965.25	619.77	0	1	1	2	-1	-1	7.79	36.71	629.91	61.55	39.57	617.47	0.10	0.09	-0.99	0.02	0.10	-0.99	0		
2372890737	SMP	1	1301.91	571.85	1026.48	553.08	16.12	16.12	3.04	13.64	13.64	2.49	1300.41	575.64	1308.85	575.54	1024.88	557.22	1033.64	557.38	1110.39	681.88	963.29	620.09	0	1	1	2	-1	-1	7.76	36.74	629.95	61.50	39.59	617.33	0.10	0.09	-0.99	0.02	0.10	-0.99	0		
2372924077	SMP	1	1302.25	572.03	1026.73	553.23	16.36	16.36	3.05	13.73	13.73	2.50	1300.88	575.72	1309.29	575.69	1025.43	557.36	1034.17	557.42	1111.85	681.98	966.43	624.02	0	1	1	2	-1	-1	7.68	36.73	630.24	61.40	39.57	617.35	0.10	0.09	-0.99	0.03	0.10	-0.99	0		
2372957397	SMP	1	1302.53	572.13	1026.93	553.92	16.27	16.27	3.05	14.33	14.33	2.53	1301.01	575.89	1309.40	575.84	1025.54	557.43	1034.30	557.44	1109.75	679.19	966.67	655.82	0	1	1	2	-1	-1	7.66	36.72	630.53	61.37	39.56	617.33	0.10	0.09	-0.99	0.02	0.08	-1.00	0		
2372990737	SMP	1	1302.39	572.24	1026.97	552.90	16.39	16.39	3.06	12.77	12.77	2.50	1300.85	575.97	1309.28	575.87	1025.42	557.48	1034.15	557.47	1108.67	679.35	963.73	617.34	0	1	1	2	-1	-1	7.68	36.71	630.61	61.41	39.56	617.41	0.10	0.09	-0.99	0.02	0.12	-0.99	0		
2373024053	SMP	1	1302.25	572.04	1026.76	553.65	16.55	16.55	3.08	14.42	14.42	2.54	1300.75	575.60	1309.09	575.51	1025.35	557.27	1034.18	557.41	1107.58	680.74	965.67	653.49	0	1	1	2	-1	-1	7.72	36.80	630.89	61.37	39.56	616.99	0.10	0.09	-0.99	0.02	0.08	-1.00	0		
2373057394	SMP	1	1302.16	572.08	1026.80	553.37	16.52	16.52	3.09	14.00	14.00	2.55	1300.76	575.66	1309.16	575.58	1025.32	557.39	1034.13	557.44	1108.26	682.14	965.99	636.64	0	1	1	2	-1	-1	7.71	36.80	631.01	61.35	39.53	616.73	0.10	0.09	-0.99	0.02	0.10	-0.99	0		
2373090715	SMP	1	1303.01	572.42	1027.27	553.62	16.71	16.71	3.10	13.82	13.82	2.55	1301.28	575.97	1309.62	575.97	1025.52	557.65	1034.32	557.81	1099.81	682.30	960.37	636.10	0	1	1	2	-1	-1	7.62	36.75	631.35	61.29	39.45	616.48	0.09	0.09	-0.99	0.01	0.10	-0.99	0		
2373124054	SMP	1	1311.15	571.96	1035.19	554.13	15.96	15.96	3.09	15.30	15.30	2.61	1305.64	575.91	1314.11	575.92	1030.40	557.45	1039.18	557.53	634.68	673.73	600.35	664.35	0	1	1	2	-1	-1	6.73	36.75	631.18	60.32	39.48	616.29	-0.06	0.10	-0.99	-0.11	0.07	-0.99	0		
2373157376	SMP	1	1314.13	572.03	1038.38	553.40	16.47	16.47	3.09	15.02	15.02	2.64	1307.47	575.58	1315.87	575.54	1032.43	557.13	1041.40	557.40	495.80	682.29	485.00	634.92	0	1	1	2	-1	-1	6.37	36.82	631.26	59.82	39.48	615.49	-0.11	0.09	-0.99	-0.15	0.09	-0.98	0		
2373190712	SMP	1	1313.88	572.19	1037.87	553.46	16.34	16.34	3.09	14.70	14.70	2.66	1307.25	575.80	1315.70	575.86	1032.17	557.42	1040.93	557.52	499.00	682.15	494.36	631.30	0	1	1	2	-1	-1	6.41	36.76	631.07	59.92	39.45	615.73	-0.11	0.09	-0.99	-0.14	0.10	-0.98	0		
2373224032	SMP	1	1313.76	572.45	1037.78	554.41	16.34	16.34	3.09	15.21	15.21	2.69	1307.03	576.10	1315.44	576.16	1031.64	557.64	1040.53	558.02	495.12	680.01	475.07	658.71	0	1	1	2	-1	-1	6.46	36.70	631.08	59.95	39.34	615.12	-0.11	0.09	-0.99	-0.16	0.07	-0.98	0		
2373257371	SMP	1	1314.19	572.34	1037.89	553.79	16.67	16.67	3.11	14.47	14.47	2.69	1307.42	575.90	1315.81	575.93	1031.98	557.52	1040.84	557.70	491.32	682.05	482.14	640.60	0	1	1	2	-1	-1	6.38	36.74	631.07	59.87	39.37	614.96	-0.12	0.09	-0.99	-0.15	0.09	-0.98	0		
2373290692	SMP	1	1314.51	572.11	1038.30	553.21	16.71	16.71	3.12	14.73	14.73	2.69	1307.88	575.69	1316.21	575.61	1032.38	557.32	1041.37	557.49	492.62	683.32	485.46	623.07	0	1	1	2	-1	-1	6.30	36.81	631.36	59.69	39.36	614.06	-0.11	0.09	-0.99	-0.15	0.10	-0.98	0		
2373324028	SMP	1	1314.39	572.19	1038.19	553.49	16.60	16.60	3.12	14.82	14.82	2.70	1307.68	575.77	1316.05	575.73	1032.27	557.39	1041.14	557.54	491.64	684.22	484.31	629.09	0	1	1	2	-1	-1	6.33	36.80	631.47	59.72	39.34	614.04	-0.11	0.09	-0.99	-0.15	0.09	-0.98	0		
2373357354	SMP	1	1313.98	572.23	1037.68	553.64	16.49	16.49	3.12	14.60	14.60	2.70	1307.26	575.88	1315.66	575.90	1031.63	557.55	1040.49	557.78	491.24	682.98	480.06	628.13	0	1	1	2	-1	-1	6.41	36.77	631.44	59.83	39.29	613.80	-0.11	0.09	-0.99	-0.16	0.10	-0.98	0		
2373390689	SMP	1	1312.74	570.51	1036.26	552.66	15.96	15.96	3.11	14.71	14.71	2.71	1306.66	575.15	1314.90	575.12	1030.89	557.10	1039.71	557.29	524.29	603.02	517.28	607.93	0	1	1	2	-1	-1	6.56	36.96	632.05	59.97	39.37	613.72	-0.09	0.13	-0.99	-0.13	0.12	-0.98	0		
2373424010	SMP	1	1310.87	567.03	1035.23	549.09	15.88	15.88	3.09	14.44	14.44	2.70	1305.57	573.25	1313.87	573.24	1030.58	555.26	1039.37	555.33	642.29	430.71	613.15	429.53	0	1	1	2	-1	-1	6.77	37.35	632.35	60.04	39.75	613.80	-0.06	0.20	-0.98	-0.10	0.18	-0.98	0		
2373457348	SMP	1	1310.51	564.47	1035.72	546.67	16.01	16.01	3.08	14.43	14.43	2.70	1305.28	571.92	1313.49	571.93	1031.01	553.94	1039.60	554.11	647.46	312.37	609.12	324.87	0	1	1	2	-1	-1	6.85	37.66	633.11	60.08	40.07	614.88	-0.06	0.25	-0.97	-0.11	0.23	-0.97	0		
2373490668	SMP	1	1310.12	564.73	1035.12	547.05	15.65	15.65	3.06	14.53	14.53	2.70	1304.82	572.23	1313.12	572.28	1030.62	554.30	1039.25	554.48	651.66	308.83	624.98	325.62	0	1	1	2	-1	-1	6.93	37.60	633.26	60.21	40.03	615.45	-0.06	0.25	-0.97	-0.10	0.23	-0.97	0		
2373524012	SMP	1	1309.67	565.15	1034.94	547.25	15.49	15.49	3.04	14.00	14.00	2.68	1304.61	572.59	1312.84	572.64	1030.38	554.74	1038.99	554.97	658.87	309.43	625.52	315.30	0	1	1	2	-1	-1	6.99	37.57	633.94	60.33	39.99	616.21	-0.05	0.25	-0.97	-0.10	0.24	-0.97	0		
2373557331	SMP	1	1309.83	565.31	1035.04	547.49	15.47	15.47	3.03	13.74	13.74	2.66	1304.73	572.78	1312.97	572.84	1030.47	555.00	1039.01	555.15	661.14	308.58	624.71	310.70	0	1	1	2	-1	-1	6.97	37.55	634.30	60.46	40.04	617.59	-0.05	0.25	-0.97	-0.10	0.24	-0.97	0		
