## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4611                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1440	900
## Calibration Point 0:	Position(720;450)
## Calibration Point 1:	Position(360;45)
## Calibration Point 2:	Position(1368;225)
## Calibration Point 3:	Position(1080;855)
## Calibration Point 4:	Position(72;675)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023402-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
860291904	SMP	1	1303.60	559.64	1014.93	537.84	15.21	15.21	2.68	14.31	14.31	2.54	1301.82	564.20	1311.14	564.17	1013.80	542.18	1023.27	542.26	1089.47	667.92	1071.96	650.96	0	1	1	2	-1	-1	7.03	37.07	598.53	60.92	40.75	591.37	0.10	0.11	-0.99	0.04	0.10	-0.99	0		
860325237	SMP	1	1303.64	559.87	1014.92	537.76	15.68	15.68	2.70	14.41	14.41	2.54	1301.88	564.11	1311.25	564.08	1013.92	541.97	1023.35	542.18	1089.40	673.48	1071.96	651.19	0	1	1	2	-1	-1	7.01	37.08	598.39	60.94	40.80	591.67	0.10	0.10	-0.99	0.04	0.10	-0.99	0		
860358573	SMP	1	1303.63	559.35	1014.98	537.70	15.28	15.28	2.71	14.42	14.42	2.55	1301.87	563.95	1311.20	563.88	1013.89	541.84	1023.37	542.10	1088.64	669.41	1071.53	652.02	0	1	1	2	-1	-1	7.01	37.12	598.37	60.94	40.82	591.73	0.10	0.12	-0.99	0.04	0.09	-0.99	0		
860391897	SMP	1	1303.37	559.51	1014.72	537.80	15.12	15.12	2.71	14.23	14.23	2.55	1301.71	564.11	1311.01	564.09	1013.69	542.17	1023.17	542.30	1088.15	668.52	1071.26	651.26	0	1	1	2	-1	-1	7.05	37.09	598.48	61.00	40.78	591.88	0.10	0.12	-0.99	0.04	0.10	-0.99	0		
860425231	SMP	1	1303.36	559.81	1014.75	537.97	15.64	15.64	2.73	14.64	14.64	2.56	1301.57	564.28	1310.94	564.22	1013.60	542.38	1023.17	542.34	1086.62	671.00	1069.51	651.08	0	1	1	2	-1	-1	7.06	37.05	598.35	60.99	40.75	591.76	0.10	0.11	-0.99	0.04	0.10	-0.99	0		
860458554	SMP	1	1303.40	559.34	1014.84	537.93	15.12	15.12	2.73	14.48	14.48	2.57	1301.63	564.01	1310.93	563.93	1013.60	542.10	1023.17	542.28	1085.03	668.76	1066.67	652.80	0	1	1	2	-1	-1	7.06	37.11	598.43	60.98	40.77	591.64	0.10	0.12	-0.99	0.04	0.09	-0.99	0		
860491889	SMP	1	1303.27	559.46	1014.70	537.75	15.47	15.47	2.74	14.58	14.58	2.57	1301.57	563.86	1310.93	563.78	1013.57	541.85	1023.18	542.10	1084.76	674.16	1066.04	655.28	0	1	1	2	-1	-1	7.07	37.13	598.33	60.96	40.80	591.38	0.10	0.11	-0.99	0.04	0.09	-0.99	0		
860525214	SMP	1	1303.17	559.60	1014.52	537.91	15.59	15.59	2.75	14.54	14.54	2.58	1301.47	563.97	1310.83	563.93	1013.47	542.10	1023.11	542.28	1085.63	676.71	1067.33	656.68	0	1	1	2	-1	-1	7.08	37.10	598.26	60.93	40.73	590.99	0.10	0.11	-0.99	0.05	0.09	-0.99	0		
860558552	SMP	1	1303.06	559.84	1014.66	537.89	16.03	16.03	2.77	14.12	14.12	2.57	1301.42	564.10	1310.82	564.11	1013.45	542.26	1023.12	542.32	1087.47	680.58	1066.39	656.36	0	1	1	2	-1	-1	7.09	37.06	598.08	60.88	40.68	590.49	0.11	0.10	-0.99	0.04	0.10	-0.99	0		
860591872	SMP	1	1303.13	559.74	1014.70	538.05	16.02	16.02	2.79	14.74	14.74	2.58	1301.49	564.01	1310.85	563.99	1013.53	542.20	1023.15	542.31	1088.93	683.84	1066.52	658.62	0	1	1	2	-1	-1	7.08	37.08	598.00	60.85	40.67	590.25	0.11	0.10	-0.99	0.04	0.09	-0.99	0		
860625209	SMP	1	1307.74	556.08	1019.71	534.58	15.33	15.33	2.78	14.29	14.29	2.57	1303.79	562.32	1313.27	562.18	1016.58	540.47	1026.20	540.55	857.98	523.87	861.52	511.94	0	1	1	2	-1	-1	6.62	37.38	597.54	60.24	40.97	589.89	0.02	0.18	-0.98	-0.03	0.16	-0.99	0		
860658531	SMP	1	1309.21	552.62	1022.17	531.60	15.61	15.61	2.79	14.94	14.94	2.59	1304.46	560.37	1313.67	560.49	1018.26	538.73	1027.57	539.07	763.67	376.87	771.36	388.72	0	1	1	2	-1	-1	6.53	37.75	598.03	60.05	41.34	590.86	-0.02	0.24	-0.97	-0.07	0.21	-0.98	0		
860691915	SMP	1	1309.61	552.20	1022.53	531.01	15.75	15.75	2.80	14.88	14.88	2.60	1304.60	560.25	1313.65	560.39	1018.44	538.79	1027.81	539.01	740.09	358.73	762.83	350.05	0	1	1	2	-1	-1	6.53	37.85	599.24	60.04	41.35	591.12	-0.03	0.25	-0.97	-0.07	0.23	-0.97	0		
860725190	SMP	1	1309.70	552.34	1022.51	531.25	15.76	15.76	2.80	14.81	14.81	2.61	1304.68	560.37	1313.81	560.43	1018.40	538.93	1027.75	539.08	737.33	356.38	759.13	351.31	0	1	1	2	-1	-1	6.51	37.87	599.70	60.11	41.38	591.70	-0.03	0.25	-0.97	-0.07	0.23	-0.97	0		
860758534	SMP	1	1309.65	552.25	1022.40	531.19	15.85	15.85	2.81	14.92	14.92	2.62	1304.73	560.35	1313.89	560.44	1018.38	538.92	1027.71	539.07	740.59	351.30	760.01	347.61	0	1	1	2	-1	-1	6.51	37.90	600.20	60.18	41.42	592.35	-0.02	0.25	-0.97	-0.07	0.23	-0.97	0		
860791852	SMP	1	1309.77	552.34	1022.45	531.37	15.86	15.86	2.82	14.88	14.88	2.63	1304.68	560.45	1314.02	560.51	1018.19	538.96	1027.59	539.13	738.16	349.62	754.38	349.92	0	1	1	2	-1	-1	6.49	37.85	599.64	60.22	41.42	592.50	-0.03	0.25	-0.97	-0.08	0.23	-0.97	0		
860825190	SMP	1	1310.22	550.50	1023.63	529.20	15.94	15.94	2.84	14.89	14.89	2.63	1305.08	559.43	1313.82	559.17	1018.77	537.42	1028.26	537.80	724.51	292.50	710.01	313.35	0	1	1	2	-1	-1	6.53	38.43	605.29	60.08	41.68	592.29	-0.04	0.28	-0.96	-0.10	0.25	-0.96	0		
860858512	SMP	1	1308.55	548.68	1022.32	527.45	15.86	15.86	2.84	15.07	15.07	2.65	1303.94	558.01	1312.88	558.17	1018.46	536.61	1027.65	536.76	745.79	231.32	761.36	225.60	0	1	1	2	-1	-1	6.72	38.60	604.26	60.37	41.99	594.21	-0.02	0.31	-0.95	-0.07	0.29	-0.96	0		
860891852	SMP	1	1308.58	548.85	1022.17	527.48	16.17	16.17	2.86	15.29	15.29	2.67	1304.04	558.17	1312.83	558.09	1018.27	536.54	1027.47	536.68	748.70	227.15	762.51	226.31	0	1	1	2	-1	-1	6.76	38.82	607.83	60.49	42.06	595.05	-0.02	0.30	-0.95	-0.07	0.28	-0.96	0		
860925173	SMP	1	1308.55	548.75	1022.10	527.45	16.18	16.18	2.88	15.03	15.03	2.67	1304.05	558.09	1312.85	558.00	1018.20	536.45	1027.43	536.65	753.46	222.31	764.23	225.72	0	1	1	2	-1	-1	6.77	38.91	609.06	60.56	42.12	595.68	-0.01	0.30	-0.95	-0.07	0.28	-0.96	0		
860958512	SMP	1	1308.38	548.80	1021.85	527.57	16.04	16.04	2.89	15.09	15.09	2.68	1303.95	558.19	1312.68	558.03	1017.96	536.52	1027.24	536.72	757.44	217.66	766.45	226.97	0	1	1	2	-1	-1	6.82	39.06	611.51	60.64	42.13	596.07	-0.01	0.31	-0.95	-0.06	0.28	-0.96	0		
860991829	SMP	1	1308.33	548.78	1021.86	527.63	15.85	15.85	2.90	14.91	14.91	2.68	1303.96	558.27	1312.57	558.11	1017.85	536.72	1027.08	536.79	759.58	209.41	763.87	223.84	0	1	1	2	-1	-1	6.87	39.24	614.64	60.76	42.17	596.95	-0.01	0.31	-0.95	-0.07	0.28	-0.96	0		
861025168	SMP	1	1308.54	548.88	1021.97	527.58	15.88	15.88	2.91	14.89	14.89	2.68	1304.01	558.22	1312.68	558.11	1017.91	536.63	1027.18	536.83	756.24	209.16	762.41	221.87	0	1	1	2	-1	-1	6.86	39.27	615.09	60.77	42.20	597.27	-0.02	0.31	-0.95	-0.07	0.28	-0.96	0		
861058486	SMP	1	1308.62	548.62	1021.98	527.50	15.79	15.79	2.91	14.79	14.79	2.68	1304.06	558.08	1312.77	557.96	1017.96	536.40	1027.28	536.68	758.06	203.75	764.25	223.07	0	1	1	2	-1	-1	6.85	39.33	615.56	60.78	42.24	597.45	-0.02	0.31	-0.95	-0.07	0.28	-0.96	0		
861091822	SMP	1	1308.35	548.77	1021.80	527.48	15.75	15.75	2.91	14.87	14.87	2.68	1303.99	558.17	1312.64	558.06	1017.85	536.53	1027.13	536.75	764.81	201.57	766.54	220.85	0	1	1	2	-1	-1	6.88	39.41	617.10	60.85	42.26	597.92	-0.01	0.31	-0.95	-0.07	0.28	-0.96	0		
861125144	SMP	1	1310.37	549.24	1023.35	527.88	15.81	15.81	2.91	14.90	14.90	2.68	1304.91	558.37	1314.06	558.32	1018.78	536.77	1028.15	536.94	712.89	211.49	736.34	222.14	0	1	1	2	-1	-1	6.59	39.00	611.29	60.66	42.21	597.85	-0.04	0.30	-0.95	-0.09	0.28	-0.96	0		
861158483	SMP	1	1319.17	550.37	1032.14	529.23	15.77	15.77	2.91	15.20	15.20	2.70	1310.32	558.85	1319.25	559.17	1024.11	537.27	0.00	0.00	308.97	226.16	312.47	242.12	0	1	1	2	-1	-1	5.59	39.05	614.18	59.79	42.22	599.02	-0.18	0.28	-0.94	-0.22	0.24	-0.94	0		
861191805	SMP	1	1321.16	550.29	1034.61	529.43	15.91	15.91	2.92	15.35	15.35	2.71	1311.69	558.75	1320.26	559.05	1026.03	537.38	1035.01	537.97	215.93	219.77	249.55	227.64	0	1	1	2	-1	-1	5.39	39.32	618.13	59.58	42.24	600.47	-0.21	0.28	-0.94	-0.25	0.25	-0.94	0		
861225144	SMP	1	1321.33	550.33	1034.61	529.29	15.74	15.74	2.92	15.27	15.27	2.72	1311.72	558.74	1320.50	559.21	1026.01	537.28	1034.97	537.86	213.80	222.49	241.87	228.20	0	1	1	2	-1	-1	5.36	39.23	616.87	59.71	42.35	601.67	-0.21	0.28	-0.93	-0.25	0.25	-0.93	0		
861258461	SMP	1	1321.19	550.29	1034.45	529.35	16.30	16.30	2.94	15.36	15.36	2.73	1311.65	558.72	1320.38	559.08	1025.78	537.29	1034.92	538.00	215.00	225.55	241.38	229.23	0	1	1	2	-1	-1	5.38	39.30	617.69	59.70	42.31	601.39	-0.21	0.28	-0.94	-0.25	0.26	-0.93	0		
861291808	SMP	1	1321.15	550.30	1034.40	529.41	16.11	16.11	2.95	15.44	15.44	2.75	1311.67	558.77	1320.38	559.25	1025.67	537.37	1034.86	537.94	216.78	223.10	238.83	231.22	0	1	1	2	-1	-1	5.39	39.31	618.22	59.72	42.31	601.41	-0.21	0.29	-0.93	-0.25	0.25	-0.93	0		
861325122	SMP	1	1321.27	550.28	1034.48	529.38	16.17	16.17	2.96	15.46	15.46	2.76	1311.83	558.69	1320.38	559.17	1025.72	537.28	1034.88	537.96	215.90	225.71	235.97	231.82	0	1	1	2	-1	-1	5.38	39.42	619.74	59.76	42.35	601.87	-0.21	0.29	-0.93	-0.25	0.25	-0.93	0		
861358468	SMP	1	1321.22	550.01	1034.41	529.21	16.25	16.25	2.97	15.41	15.41	2.77	1311.83	558.55	1320.49	558.94	1025.69	537.05	1034.90	537.84	218.59	225.40	236.14	233.46	0	1	1	2	-1	-1	5.37	39.44	619.52	59.77	42.39	601.96	-0.21	0.29	-0.93	-0.25	0.25	-0.93	0		
861391783	SMP	1	1321.54	549.57	1034.52	528.58	15.99	15.99	2.97	15.21	15.21	2.77	1311.84	558.38	1320.81	558.67	1025.89	536.80	1035.01	537.27	217.06	220.85	237.32	230.95	0	1	1	2	-1	-1	5.32	39.36	617.48	59.79	42.50	602.47	-0.21	0.30	-0.93	-0.25	0.26	-0.93	0		
861425120	SMP	1	1321.73	548.75	1035.10	527.89	15.84	15.84	2.96	15.21	15.21	2.77	1312.02	558.10	1321.04	558.12	1026.21	536.50	1035.29	536.87	217.59	203.47	231.34	216.22	0	1	1	2	-1	-1	5.27	39.35	616.15	59.78	42.60	602.93	-0.21	0.31	-0.93	-0.26	0.28	-0.93	0		
861458445	SMP	1	1322.00	547.15	1035.76	526.18	15.92	15.92	2.96	15.02	15.02	2.76	1312.02	557.19	1320.80	556.97	1026.78	535.45	1035.69	535.74	207.10	125.69	221.82	131.40	0	1	1	2	-1	-1	5.30	39.65	617.66	59.83	42.91	604.38	-0.23	0.33	-0.91	-0.26	0.30	-0.92	0		
861491779	SMP	1	1322.31	546.32	1036.36	525.50	15.55	15.55	2.95	15.12	15.12	2.76	1312.16	556.69	1320.95	556.45	1027.14	534.93	1036.04	535.18	189.67	94.42	194.28	110.73	0	1	1	2	-1	-1	5.27	39.74	617.47	59.86	43.09	605.31	-0.23	0.35	-0.91	-0.27	0.31	-0.91	0		
861525102	SMP	1	1322.18	546.16	1036.24	525.48	15.53	15.53	2.93	15.11	15.11	2.76	1312.04	556.63	1320.84	556.45	1027.05	535.05	1036.09	535.32	184.20	83.04	198.64	100.63	0	1	1	2	-1	-1	5.29	39.72	617.09	59.84	43.05	605.11	-0.23	0.35	-0.91	-0.27	0.31	-0.91	0		
861558443	SMP	1	1321.89	546.36	1036.08	525.96	15.69	15.69	2.93	15.31	15.31	2.77	1311.87	556.83	1320.65	556.59	1026.87	535.39	1035.81	535.65	186.12	81.00	184.56	100.77	0	1	1	2	-1	-1	5.33	39.68	617.06	59.99	43.06	606.17	-0.23	0.35	-0.91	-0.27	0.31	-0.91	0		
861591763	SMP	1	1321.67	546.25	1035.82	525.81	15.46	15.46	2.92	14.85	14.85	2.76	1311.76	556.78	1320.53	556.55	1026.69	535.36	1035.68	535.60	190.45	77.80	188.46	96.97	0	1	1	2	-1	-1	5.35	39.69	617.01	60.05	43.09	606.50	-0.23	0.35	-0.91	-0.27	0.31	-0.91	0		
861625105	SMP	1	1321.70	545.91	1035.95	525.62	15.37	15.37	2.91	15.05	15.05	2.76	1311.79	556.32	1320.48	556.17	1026.78	535.04	1035.73	535.40	184.14	78.31	180.89	96.20	0	1	1	2	-1	-1	5.36	39.80	617.43	60.10	43.18	607.13	-0.23	0.35	-0.91	-0.27	0.31	-0.91	0		
861658418	SMP	1	1321.40	545.37	0.00	0.00	15.25	15.25	2.89	0.00	0.00	0.00	1311.59	555.20	1320.60	555.00	0.00	0.00	0.00	0.00	197.16	128.39	0.00	0.00	0	1	0	1	-1	-1	5.35	39.92	615.85	0.00	0.00	0.00	-0.22	0.32	-0.92	0.00	0.00	0.00	0		
861691759	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0		
861725108	SMP	1	1314.93	546.26	1028.13	526.10	15.27	15.27	2.88	14.48	14.48	2.74	1308.20	555.94	1316.86	556.06	1022.03	534.13	1031.29	534.35	523.36	140.52	530.93	243.84	0	1	1	2	-1	-1	6.06	39.86	617.66	60.86	43.29	605.93	-0.10	0.33	-0.94	-0.15	0.25	-0.96	0		
861758418	SMP	1	1313.67	548.23	1027.29	526.52	15.55	15.55	2.88	14.68	14.68	2.73	1307.48	557.29	1316.29	557.32	1021.65	535.08	1030.98	535.48	579.76	195.96	580.26	220.46	0	1	1	2	-1	-1	6.18	39.55	616.80	60.81	43.00	604.76	-0.08	0.30	-0.95	-0.13	0.27	-0.95	0		
861791749	SMP	1	1313.72	548.19	1027.09	526.60	15.52	15.52	2.88	14.71	14.71	2.72	1307.39	557.29	1316.17	557.37	1021.63	535.12	1030.91	535.42	571.49	194.52	596.36	224.16	0	1	1	2	-1	-1	6.20	39.55	616.87	60.77	42.97	604.20	-0.09	0.30	-0.95	-0.12	0.27	-0.96	0		
861825087	SMP	1	1313.41	547.89	1026.94	526.35	15.23	15.23	2.87	14.65	14.65	2.71	1307.30	557.07	1315.98	557.15	1021.58	535.00	1030.75	535.33	581.46	194.99	603.10	218.37	0	1	1	2	-1	-1	6.24	39.63	617.48	60.80	42.99	604.33	-0.08	0.31	-0.95	-0.12	0.28	-0.95	0		
861858401	SMP	1	1308.87	547.91	1021.91	526.54	16.11	16.11	2.89	15.36	15.36	2.73	1304.15	557.08	1313.16	556.89	1018.60	535.13	1027.71	535.20	758.39	206.43	829.78	235.28	0	1	1	2	-1	-1	6.80	39.54	615.64	61.40	43.01	604.53	-0.02	0.30	-0.95	-0.05	0.27	-0.96	0		
