## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9669                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1440	900
## Calibration Point 0:	Position(720;450)
## Calibration Point 1:	Position(360;45)
## Calibration Point 2:	Position(1368;225)
## Calibration Point 3:	Position(1080;855)
## Calibration Point 4:	Position(72;675)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023402-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
35617227	SMP	1	1276.10	563.99	997.10	559.21	15.74	15.74	3.00	16.10	16.10	2.95	1274.61	568.03	1283.10	568.09	996.32	562.61	1005.20	562.72	1075.50	654.91	1080.20	683.19	0	1	1	2	-1	-1	12.85	38.06	626.96	66.71	38.32	613.94	0.09	0.11	-0.99	0.04	0.07	-1.00	0		
35650569	SMP	1	1275.85	563.67	996.88	559.06	16.03	16.03	3.00	16.24	16.24	2.96	1274.33	567.81	1282.90	567.79	996.12	562.45	1004.92	562.44	1075.97	649.75	1080.32	683.90	0	1	1	2	-1	-1	12.89	38.10	626.69	66.80	38.39	614.36	0.09	0.11	-0.99	0.04	0.07	-1.00	0		
35683888	SMP	1	1275.90	563.76	996.83	559.13	16.03	16.03	3.01	16.33	16.33	2.97	1274.34	567.81	1282.92	567.83	996.15	562.48	1004.91	562.47	1075.89	649.16	1082.17	683.27	0	1	1	2	-1	-1	12.89	38.09	626.58	66.85	38.41	614.78	0.09	0.10	-0.99	0.04	0.07	-1.00	0		
35717217	SMP	1	1276.34	564.03	997.13	559.27	16.31	16.31	3.02	16.36	16.36	2.98	1274.54	567.94	1283.17	568.03	996.29	562.56	1005.20	562.71	1073.76	649.64	1082.21	683.59	0	1	1	2	-1	-1	12.83	38.03	626.09	66.77	38.36	614.42	0.08	0.10	-0.99	0.04	0.07	-1.00	0		
35750548	SMP	1	1276.23	563.73	997.13	559.19	15.89	15.89	3.01	16.31	16.31	2.99	1274.56	567.95	1283.21	568.04	996.31	562.55	1005.21	562.70	1074.83	640.06	1082.91	682.80	0	1	1	2	-1	-1	12.82	38.00	625.77	66.73	38.34	614.11	0.09	0.11	-0.99	0.04	0.07	-1.00	0		
35783882	SMP	1	1276.13	563.78	997.00	559.17	16.04	16.04	3.01	16.30	16.30	3.00	1274.47	567.85	1283.13	567.92	996.19	562.44	1005.01	562.51	1074.36	641.08	1083.07	683.81	0	1	1	2	-1	-1	12.83	38.00	625.42	66.77	38.38	614.18	0.09	0.11	-0.99	0.04	0.07	-1.00	0		
35817206	SMP	1	1278.50	563.14	999.01	558.54	15.93	15.93	3.01	16.34	16.34	3.00	1275.78	567.63	1284.38	567.71	997.20	562.19	1006.19	562.24	946.99	627.84	976.15	677.68	0	1	1	2	-1	-1	12.57	38.04	625.28	66.49	38.39	613.56	0.04	0.12	-0.99	0.00	0.08	-1.00	0		
35850543	SMP	1	1282.52	561.86	1004.06	556.84	16.15	16.15	3.01	16.01	16.01	3.00	1278.09	566.89	1286.60	566.92	999.96	561.26	1008.98	561.48	745.55	578.17	705.70	568.12	0	1	1	2	-1	-1	12.13	38.20	625.39	65.88	38.51	612.91	-0.03	0.14	-0.99	-0.09	0.12	-0.99	0		
35883866	SMP	1	1283.54	560.99	1005.30	555.99	15.96	15.96	3.01	16.10	16.10	2.99	1278.65	566.49	1287.35	566.45	1001.01	560.97	1009.86	561.12	719.55	524.85	689.02	522.95	0	1	1	2	-1	-1	11.98	38.24	624.60	65.71	38.59	613.12	-0.04	0.16	-0.99	-0.10	0.14	-0.99	0		
35917196	SMP	1	1283.43	561.08	1005.11	556.29	15.68	15.68	3.00	16.34	16.34	3.00	1278.60	566.71	1287.24	566.72	1000.76	561.20	1009.63	561.34	716.52	507.92	680.44	522.53	0	1	1	2	-1	-1	11.99	38.17	624.32	65.74	38.53	612.92	-0.04	0.17	-0.99	-0.10	0.14	-0.99	0		
35950529	SMP	1	1283.41	561.42	1004.94	556.56	16.21	16.21	3.00	16.13	16.13	3.00	1278.40	566.80	1287.09	566.93	1000.55	561.32	1009.39	561.43	706.50	514.39	674.10	529.28	0	1	1	2	-1	-1	12.01	38.10	623.74	65.78	38.51	612.90	-0.05	0.16	-0.99	-0.10	0.13	-0.99	0		
35983860	SMP	1	1283.34	561.18	1004.67	556.55	16.08	16.08	3.01	16.15	16.15	2.99	1278.32	566.67	1286.96	566.72	1000.24	561.28	1009.31	561.46	701.64	510.88	674.60	530.96	0	1	1	2	-1	-1	12.03	38.12	623.47	65.70	38.44	611.77	-0.05	0.16	-0.99	-0.10	0.13	-0.99	0		
36017188	SMP	1	1283.16	560.79	1004.67	556.16	15.93	15.93	3.00	15.69	15.69	2.98	1278.25	566.38	1286.90	566.50	1000.20	561.19	1009.18	561.36	703.42	505.54	671.80	521.39	0	1	1	2	-1	-1	12.04	38.15	623.18	65.69	38.44	611.55	-0.04	0.17	-0.99	-0.10	0.14	-0.98	0		
36050519	SMP	1	1283.20	560.78	1004.66	556.30	15.75	15.75	2.99	16.12	16.12	2.98	1278.24	566.47	1286.88	566.53	1000.14	561.20	1009.18	561.40	701.25	501.77	669.83	523.13	0	1	1	2	-1	-1	12.04	38.13	622.96	65.61	38.39	610.80	-0.04	0.17	-0.98	-0.10	0.14	-0.99	0		
36083841	SMP	1	1283.17	561.28	1004.65	556.67	15.85	15.85	2.99	16.20	16.20	2.98	1278.29	566.78	1286.91	566.87	1000.15	561.40	1009.16	561.52	702.24	504.81	668.17	528.98	0	1	1	2	-1	-1	12.03	38.06	622.84	65.58	38.34	610.42	-0.04	0.16	-0.99	-0.10	0.13	-0.99	0		
36117172	SMP	1	1283.22	561.23	1004.63	556.60	15.75	15.75	2.98	16.10	16.10	2.98	1278.31	566.80	1286.92	566.89	1000.15	561.45	1009.17	561.58	701.29	502.91	667.98	526.99	0	1	1	2	-1	-1	12.02	38.04	622.67	65.52	38.29	609.90	-0.04	0.17	-0.99	-0.10	0.13	-0.99	0		
36150499	SMP	1	1283.21	560.99	1004.50	556.17	16.04	16.04	2.98	15.61	15.61	2.96	1278.29	566.58	1286.93	566.59	1000.16	561.23	1009.11	561.41	701.01	502.86	670.46	521.67	0	1	1	2	-1	-1	12.02	38.08	622.49	65.52	38.33	609.89	-0.04	0.16	-0.99	-0.10	0.14	-0.99	0		
36183833	SMP	1	1283.32	560.94	1004.68	556.47	15.85	15.85	2.98	16.13	16.13	2.96	1278.28	566.40	1287.03	566.46	1000.13	561.14	1009.16	561.37	699.32	504.67	666.93	529.09	0	1	1	2	-1	-1	12.00	38.08	621.99	65.46	38.31	609.36	-0.05	0.16	-0.99	-0.10	0.13	-0.99	0		
36217162	SMP	1	1283.23	561.06	1004.62	556.53	15.58	15.58	2.97	16.07	16.07	2.96	1278.33	566.69	1286.92	566.70	1000.09	561.29	1009.08	561.46	698.21	501.50	664.73	526.84	0	1	1	2	-1	-1	12.01	38.04	622.18	65.45	38.27	609.11	-0.04	0.17	-0.99	-0.10	0.13	-0.99	0		
36250489	SMP	1	1283.14	561.27	1004.57	556.17	15.56	15.56	2.96	14.95	14.95	2.92	1278.27	566.79	1286.90	566.88	1000.03	561.44	1009.03	561.47	698.27	501.71	663.70	519.76	0	1	1	2	-1	-1	12.02	38.02	622.17	65.43	38.24	608.88	-0.04	0.16	-0.99	-0.10	0.15	-0.98	0		
36283812	SMP	1	1283.16	561.16	1004.42	556.50	15.45	15.45	2.94	15.63	15.63	2.91	1278.17	566.51	1286.74	566.58	999.96	561.25	1008.95	561.43	695.84	505.12	663.69	528.66	0	1	1	2	-1	-1	12.05	38.09	622.46	65.44	38.26	608.76	-0.05	0.16	-0.99	-0.10	0.13	-0.99	0		
36317155	SMP	1	1278.61	563.42	999.56	558.78	15.44	15.44	2.93	15.62	15.62	2.91	1275.69	567.56	1284.34	567.44	997.57	562.41	1006.48	562.42	919.66	645.47	942.73	663.75	0	1	1	2	-1	-1	12.53	37.90	622.37	65.92	38.06	608.88	0.04	0.10	-0.99	-0.01	0.08	-1.00	0		
36350480	SMP	1	1277.65	565.06	998.49	560.73	15.77	15.77	2.94	15.83	15.83	2.91	1275.01	568.36	1283.71	568.45	997.06	563.31	1005.89	563.43	941.38	708.57	986.55	759.94	0	1	1	2	-1	-1	12.65	37.70	622.12	66.08	37.91	609.43	0.05	0.07	-1.00	0.01	0.04	-1.00	0		
36383811	SMP	1	1277.61	565.68	998.56	560.76	16.09	16.09	2.95	15.70	15.70	2.90	1275.22	568.52	1283.84	568.61	996.97	563.33	1005.87	563.45	961.78	748.24	980.85	760.88	0	1	1	2	-1	-1	12.62	37.67	622.13	66.11	37.91	609.58	0.06	0.06	-1.00	0.01	0.04	-1.00	0		
36417142	SMP	1	1277.66	565.49	998.57	560.68	15.90	15.90	2.95	15.69	15.69	2.90	1275.28	568.46	1283.95	568.59	996.89	563.30	1005.83	563.45	970.02	743.45	977.72	758.74	0	1	1	2	-1	-1	12.60	37.67	622.07	66.12	37.91	609.53	0.06	0.06	-1.00	0.01	0.04	-1.00	0		
36450478	SMP	1	1277.68	565.05	998.37	560.36	15.62	15.62	2.95	15.51	15.51	2.89	1275.27	568.34	1283.92	568.42	996.78	563.28	1005.66	563.36	971.21	727.74	980.85	746.32	0	1	1	2	-1	-1	12.60	37.70	622.08	66.17	37.94	609.78	0.06	0.07	-1.00	0.01	0.05	-1.00	0		
36483807	SMP	1	1277.43	564.92	998.00	560.54	15.62	15.62	2.94	15.88	15.88	2.90	1275.17	568.22	1283.76	568.33	996.69	563.21	1005.45	563.26	977.95	724.21	990.97	753.47	0	1	1	2	-1	-1	12.63	37.74	622.32	66.28	38.00	610.49	0.06	0.07	-1.00	0.02	0.04	-1.00	0		
36517133	SMP	1	1277.51	565.20	998.19	560.58	16.06	16.06	2.95	15.79	15.79	2.90	1275.23	568.32	1283.79	568.40	996.69	563.29	1005.44	563.35	979.37	730.83	986.53	752.28	0	1	1	2	-1	-1	12.63	37.74	622.61	66.37	38.03	611.31	0.06	0.07	-1.00	0.01	0.05	-1.00	0		
36550463	SMP	1	1277.59	565.01	998.12	560.47	15.80	15.80	2.95	15.70	15.70	2.90	1275.25	568.29	1283.82	568.39	996.68	563.30	1005.42	563.35	978.90	724.73	989.47	748.46	0	1	1	2	-1	-1	12.63	37.76	622.82	66.45	38.08	612.09	0.06	0.07	-1.00	0.01	0.05	-1.00	0		
36583791	SMP	1	1277.63	565.10	998.08	560.38	15.87	15.87	2.96	15.73	15.73	2.90	1275.17	568.24	1283.75	568.35	996.57	563.19	1005.40	563.30	975.44	728.42	989.50	746.92	0	1	1	2	-1	-1	12.65	37.78	622.98	66.48	38.11	612.23	0.05	0.07	-1.00	0.01	0.05	-1.00	0		
36617122	SMP	1	1277.44	564.84	997.90	560.33	15.67	15.67	2.95	15.80	15.80	2.91	1275.10	568.22	1283.67	568.33	996.38	563.14	1005.33	563.30	978.28	720.64	991.38	744.88	0	1	1	2	-1	-1	12.67	37.79	623.18	66.48	38.09	611.99	0.06	0.08	-1.00	0.01	0.05	-1.00	0		
36650450	SMP	1	1277.42	565.18	997.93	560.49	15.56	15.56	2.95	15.73	15.73	2.91	1275.16	568.26	1283.74	568.39	996.36	563.22	1005.32	563.42	980.89	728.08	991.09	745.24	0	1	1	2	-1	-1	12.66	37.79	623.32	66.48	38.07	611.92	0.06	0.07	-1.00	0.01	0.05	-1.00	0		
36683782	SMP	1	1277.58	565.24	998.15	560.47	15.66	15.66	2.94	15.53	15.53	2.90	1275.26	568.33	1283.89	568.42	996.52	563.31	1005.34	563.43	982.18	729.28	990.33	744.06	0	1	1	2	-1	-1	12.63	37.78	623.30	66.52	38.10	612.52	0.06	0.07	-1.00	0.01	0.05	-1.00	0		
36717107	SMP	1	1280.29	560.71	1001.56	556.47	14.56	14.56	2.90	15.18	15.18	2.88	1276.41	565.94	1285.03	566.03	998.49	561.10	1007.79	561.26	811.20	531.89	848.07	559.50	0	1	1	2	-1	-1	12.41	38.26	623.44	65.80	38.36	609.84	0.00	0.15	-0.99	-0.04	0.12	-0.99	0		
36750442	SMP	1	1281.88	555.80	1004.23	551.24	14.40	14.40	2.87	14.72	14.72	2.85	1277.12	563.22	1285.71	563.20	1000.25	558.30	1009.16	558.39	719.02	333.63	739.25	328.58	0	1	1	2	-1	-1	12.27	38.81	623.49	65.70	39.02	611.72	-0.04	0.24	-0.97	-0.08	0.22	-0.97	0		
36783772	SMP	1	1282.09	555.54	1004.61	551.18	14.36	14.36	2.83	14.59	14.59	2.82	1277.34	563.27	1285.83	563.31	1000.43	558.52	1009.28	558.70	715.82	314.80	725.21	310.05	0	1	1	2	-1	-1	12.25	38.82	623.95	65.72	39.00	612.13	-0.04	0.25	-0.97	-0.09	0.23	-0.97	0		
