## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	7810                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1440	900
## Calibration Point 0:	Position(720;450)
## Calibration Point 1:	Position(360;45)
## Calibration Point 2:	Position(1368;225)
## Calibration Point 3:	Position(1080;855)
## Calibration Point 4:	Position(72;675)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023402-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
480500932	SMP	1	1296.09	553.52	1007.84	537.18	13.79	13.79	2.42	14.21	14.21	2.45	1294.29	558.17	1303.52	558.07	1007.09	541.65	1016.45	541.79	1070.43	638.68	1077.13	648.83	0	1	1	2	-1	-1	8.55	38.61	604.59	62.53	41.07	594.60	0.10	0.12	-0.99	0.05	0.11	-0.99	0		
480534259	SMP	1	1297.05	554.08	1009.05	536.75	13.91	13.91	2.44	14.05	14.05	2.47	1295.36	558.96	1304.47	558.90	1008.20	541.42	1017.60	541.42	1071.01	633.22	1078.65	644.77	0	1	1	2	-1	-1	8.36	38.48	604.91	62.33	41.13	594.69	0.10	0.13	-0.99	0.05	0.11	-0.99	0		
480567592	SMP	1	1298.44	554.43	1010.65	536.17	13.77	13.77	2.45	14.09	14.09	2.48	1296.98	559.48	1306.04	559.41	1009.93	540.98	1019.25	541.13	1075.26	629.09	1081.79	636.43	0	1	1	2	-1	-1	8.06	38.40	605.20	62.05	41.22	595.03	0.11	0.13	-0.99	0.05	0.12	-0.99	0		
480600920	SMP	1	1299.61	554.82	1012.10	535.71	14.28	14.28	2.48	14.22	14.22	2.49	1298.21	559.70	1307.28	559.56	1011.27	540.38	1020.75	540.39	1079.37	635.71	1083.51	638.94	0	1	1	2	-1	-1	7.82	38.37	605.41	61.76	41.33	594.83	0.11	0.13	-0.99	0.05	0.11	-0.99	0		
480634249	SMP	1	1300.12	554.92	1012.16	535.35	14.42	14.42	2.50	14.43	14.43	2.51	1298.41	559.78	1307.54	559.63	1011.50	540.00	1021.03	540.22	1075.95	637.41	1088.51	634.66	0	1	1	2	-1	-1	7.78	38.36	605.46	61.67	41.36	594.46	0.10	0.12	-0.99	0.06	0.11	-0.99	0		
480667577	SMP	1	1299.83	555.07	1012.38	535.79	13.96	13.96	2.51	14.36	14.36	2.52	1298.36	560.16	1307.53	560.07	1011.53	540.40	1021.01	540.40	1081.61	633.45	1087.43	635.61	0	1	1	2	-1	-1	7.78	38.28	605.33	61.65	41.29	594.27	0.11	0.14	-0.98	0.05	0.11	-0.99	0		
480700907	SMP	1	1300.16	555.58	1012.57	536.11	14.36	14.36	2.53	14.41	14.41	2.53	1298.64	560.48	1307.70	560.37	1011.77	540.76	1021.18	540.96	1081.43	635.44	1088.01	631.28	0	1	1	2	-1	-1	7.74	38.23	605.54	61.62	41.21	594.32	0.11	0.13	-0.99	0.05	0.11	-0.99	0		
480734237	SMP	1	1300.07	555.18	1012.54	536.00	14.22	14.22	2.54	14.38	14.38	2.54	1298.55	560.15	1307.65	560.06	1011.80	540.61	1021.16	540.69	1082.43	633.15	1090.21	630.72	0	1	1	2	-1	-1	7.76	38.30	605.66	61.63	41.26	594.46	0.11	0.13	-0.99	0.05	0.11	-0.99	0		
480767565	SMP	1	1299.66	555.05	1012.17	535.57	14.50	14.50	2.56	14.40	14.40	2.55	1298.23	559.86	1307.24	559.78	1011.45	540.11	1020.99	540.28	1084.37	635.82	1093.18	631.00	0	1	1	2	-1	-1	7.83	38.38	606.06	61.62	41.30	593.86	0.11	0.12	-0.99	0.06	0.11	-0.99	0		
480800896	SMP	1	1299.93	555.23	1012.41	535.75	14.09	14.09	2.56	14.28	14.28	2.55	1298.29	560.17	1307.44	560.14	1011.59	540.28	1021.08	540.31	1083.44	631.49	1093.10	632.63	0	1	1	2	-1	-1	7.80	38.30	605.84	61.57	41.27	593.62	0.10	0.13	-0.99	0.05	0.11	-0.99	0		
480834227	SMP	1	1301.36	555.71	1013.95	535.75	14.09	14.09	2.56	14.16	14.16	2.55	1299.62	560.62	1308.75	560.52	1012.87	540.47	1022.27	540.43	1080.79	630.52	1087.17	631.43	0	1	1	2	-1	-1	7.55	38.22	605.81	61.35	41.25	593.74	0.10	0.13	-0.99	0.04	0.11	-0.99	0		
