subject,release,isComplete,EOCount,ECCount,totalEventCount,isMatExist,matSize,isMffExist,mffSize
NDARAA075AMK,1.1,1,6,5,14,1,97626563,7,665M
NDARAA112DMH,1.1,0,4,3,9,1,68202282,7,60M
NDARAA117NEJ,1.1,1,6,5,14,1,101829892,7,697M
NDARAC904DMU,1.1,1,6,5,36,1,111263250,7,834M
NDARAD481FXF,1.1,1,6,5,14,1,94727224,7,618M
NDARAE012DGA,1.1,1,6,5,14,1,99466966,7,705M
NDARAE199TDD,1.1,1,6,5,14,1,98839694,7,736M
NDARAG143ARJ,1.1,1,6,5,14,1,108332190,7,818M
NDARAJ366ZFA,1.1,1,6,5,14,1,107894816,7,655M
NDARAK187ZLP,1.1,0,-1,-1,-1,0,-1,7,1.1G
NDARAM277WZT,1.1,1,6,5,14,1,98501491,7,654M
NDARAM704GKZ,1.1,1,6,5,14,1,97925844,7,706M
NDARAN385MDH,1.1,1,6,5,14,1,95970904,7,760M
NDARAP359UM6,1.1,1,6,5,14,1,106919485,7,711M
NDARAT100AEQ,1.1,0,-1,-1,-1,0,-1,7,714M
NDARAT299YRR,1.1,1,6,5,15,1,126671769,7,252M
NDARAV747WVL,1.1,1,6,5,14,1,99312350,7,676M
NDARAV894XWD,1.1,1,6,5,78,1,271951637,7,1014M
NDARAW320CGR,1.1,1,6,5,14,1,118806486,7,496M
NDARAY238DFL,1.1,1,6,5,14,1,105133543,7,511M
NDARBA507GCT,1.1,1,6,5,14,1,119775722,7,775M
NDARBA521RA8,1.1,1,6,5,14,1,124412550,7,748M
NDARBB854DRN,1.1,1,6,5,14,1,101805867,7,723M
NDARBC580HR5,1.1,1,6,5,14,1,121161116,7,975M
NDARBD879MBX,1.1,1,6,5,14,1,122864237,7,829M
NDARBF805EHN,1.1,1,6,5,14,1,98544724,7,717M
NDARBH024NH2,1.1,1,6,5,14,1,117007509,7,801M
NDARBK082PDD,1.1,1,6,5,14,1,94887106,7,781M
NDARBK669XJQ,1.1,1,6,5,14,1,97889658,7,673M
NDARBL117AUV,1.1,1,6,5,14,1,106028618,7,655M
NDARBM173BJG,1.1,1,6,5,14,1,123065919,7,737M
NDARBM213BEA,1.1,1,6,5,14,1,109268502,7,349M
NDARBN100LCD,1.1,0,-1,-1,-1,0,-1,7,758M
NDARBU112XZE,1.1,1,6,5,14,1,106044533,7,726M
NDARBV364MBC,1.1,1,6,5,15,1,107757464,7,220M
NDARBX121UM9,1.1,1,6,5,14,1,100451282,7,680M
NDARBX400RTC,1.1,1,6,5,14,1,106345984,7,416M
NDARBZ216FW8,1.1,0,-1,-1,-1,0,-1,7,728M
NDARCA153NKE,1.1,1,6,5,14,1,91379807,7,806M
NDARCA186WGH,1.1,1,6,5,14,1,119706410,7,646M
NDARCA789EE0,1.1,1,6,5,14,1,110237851,7,381M
NDARCB370UK4,1.1,1,6,5,14,1,146127743,7,321M
NDARCB959FYA,1.1,0,-1,-1,-1,1,92290025,7,704M
NDARCD401HGZ,1.1,1,6,5,14,1,97795597,7,665M
NDARCE721YB5,1.1,1,6,5,14,1,106218640,7,918M
NDARCF247TDJ,1.1,1,6,5,14,1,96291161,7,373M
NDARCG984YXZ,1.1,1,6,5,14,1,101790859,7,390M
NDARCJ170CT9,1.1,1,6,5,14,1,102247881,7,635M
NDARCJ475WJP,1.1,1,6,5,14,1,100006580,7,383M
NDARCJ594BWQ,1.1,1,6,5,14,1,101116197,7,687M
NDARCL080RHP,1.1,1,6,5,14,1,99209209,7,683M
NDARCN669XPR,1.1,1,6,5,14,1,110327230,7,899M
NDARCP360AFD,1.1,1,6,5,14,1,103051846,7,438M
NDARCT933HF2,1.1,1,6,5,14,1,96790968,7,745M
NDARCU034JPB,1.1,1,6,5,14,1,96345151,7,367M
NDARCW071AU5,1.1,1,6,5,14,1,110570860,7,724M
NDARCW094JCG,1.1,1,6,5,14,1,110052797,7,723M
NDARCW419GBD,1.1,1,6,5,14,1,93248763,7,648M
NDARCW963FP9,1.1,1,6,5,14,1,134646026,7,773M
NDARCX221CWA,1.1,1,6,5,14,1,98605656,7,639M
NDARCZ947WU5,1.1,1,6,5,14,1,126548814,7,744M
NDARDA695XTL,1.1,0,-1,-1,-1,0,-1,7,250M
NDARDB146NWY,1.1,1,6,5,45,1,138082596,7,441M
NDARDB804YHE,1.1,1,6,5,14,1,98148462,7,679M
NDARDC704GKW,1.1,1,6,5,15,1,140577130,7,335M
NDARDH328DR9,1.1,1,6,5,14,1,217010644,7,197M
NDARDH670PXH,1.1,1,6,5,14,1,117579622,7,995M
NDARDJ825GBP,1.1,1,6,5,14,1,99751061,7,418M
NDARDL511UND,1.1,1,6,5,14,1,112109922,7,819M
NDARDM425CG2,1.1,1,6,5,14,1,98301582,7,394M
NDARDN702GXX,1.1,1,6,5,14,1,95305985,7,762M
NDARDU986RBM,1.1,1,6,5,14,1,104487243,7,764M
NDARDV088AA3,1.1,1,6,5,14,1,99576189,7,850M
NDARDX469TC1,1.1,1,6,5,14,1,94800536,7,741M
NDARDX770PJK,1.1,1,6,5,14,1,108670803,7,604M
NDARDZ946KVL,1.1,1,6,5,14,1,102115794,7,748M
NDAREB290UCN,1.1,1,6,5,14,1,126339427,7,494M
NDAREC182WW2,1.1,1,6,5,14,1,143697728,7,781M
NDARED047DTH,1.1,0,-1,-1,-1,0,-1,7,559M
NDAREE196FEG,1.1,1,6,5,14,1,99908862,7,823M
NDAREF057VX5,1.1,1,6,5,14,1,115076208,7,931M
NDAREG561ML5,1.1,1,6,5,14,1,112879069,7,834M
NDAREH905REB,1.1,1,6,5,14,1,93990965,7,567M
NDAREK375DKR,1.1,1,6,5,16,1,120895558,7,224M
NDAREK544ENR,1.1,1,6,5,14,1,123893845,7,815M
NDAREK918EC2,1.1,1,6,5,13,1,96133177,7,89M
NDAREK947FYP,1.1,1,6,5,14,1,107906427,7,678M
NDAREL622FA6,1.1,0,-1,-1,2,1,22503,7,1.6M
NDAREM018TJQ,1.1,1,6,5,14,1,98209774,7,626M
NDAREM141CKP,1.1,1,6,5,17,1,135259849,7,266M
NDAREM731BYM,1.1,1,6,5,14,1,97786614,7,711M
NDAREN519BLJ,1.1,1,6,5,14,1,99888140,7,822M
NDARET332CTB,1.1,1,6,5,19,1,159814125,7,288M
NDARET550NXC,1.1,1,6,5,14,1,108993487,7,875M
NDARET632ELD,1.1,1,6,5,14,1,112807426,7,905M
